"VerificationID","CandidateID","ArtifactPath","ArtifactType","RemovalStatus","ZeroCallerGrepVerified","TestPassAfterRemoval","BuildPassAfterRemoval","LintPassAfterRemoval","CommitHash","Notes"
"VRF-001","DCE-FE-030","frontend/src/pages/student/modals/DigitalBarcodeIDCardModal.jsx","REACT_MODAL","REMOVED","YES","YES","YES","YES","df5ac10","Intentional scope removal verified across Student and Personnel dashboards"
"VRF-002","DCE-FE-001","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/portfolio/FacultyPortfolioPane.jsx","REACT_COMPONENT","REMOVED","YES","YES","YES","YES","2c8966b","Superseded by PortfolioEvaluationStudio"
"VRF-003","DCE-FE-002","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/rating/NDMURatingPane.jsx","REACT_COMPONENT","REMOVED","YES","YES","YES","YES","2c8966b","Superseded by PortfolioEvaluationStudio"
"VRF-004","DCE-FE-003","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/portfolio/EvidenceDocumentViewer.jsx","REACT_COMPONENT","REMOVED","YES","YES","YES","YES","2c8966b","Superseded by PortfolioEvaluationStudio"
"VRF-005","DCE-FE-004","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/rating/scoring/AutomaticDerivedScoring.jsx","REACT_COMPONENT","REMOVED","YES","YES","YES","YES","2c8966b","Superseded by AutomaticDerivedControl"
"VRF-006","DCE-FE-005","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/rating/scoring/FixedOptionScoring.jsx","REACT_COMPONENT","REMOVED","YES","YES","YES","YES","2c8966b","Superseded by FixedScoreControl"
"VRF-007","DCE-FE-006","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/rating/scoring/ManualBoundedScoring.jsx","REACT_COMPONENT","REMOVED","YES","YES","YES","YES","2c8966b","Superseded by ManualBoundedControl"
"VRF-008","DCE-FE-007","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/rating/scoring/MixedDegreeScoring.jsx","REACT_COMPONENT","REMOVED","YES","YES","YES","YES","2c8966b","Superseded by MatrixLookupControl"
"VRF-009","DCE-FE-008","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/rating/scoring/MultiFactorScoring.jsx","REACT_COMPONENT","REMOVED","YES","YES","YES","YES","2c8966b","Superseded by MultiFactorControl"
"VRF-010","DCE-FE-009","frontend/src/pages/hr-admin/evaluation-submissions/studio/EvaluationScoreStrip.jsx","REACT_COMPONENT","REMOVED","YES","YES","YES","YES","2c8966b","Superseded by active score strip"
"VRF-011","DCE-FE-010","frontend/src/pages/hr-admin/modals/HRScoreAuditModal.jsx","REACT_MODAL","REMOVED","YES","YES","YES","YES","2c8966b","Superseded by active evaluation audit controls"
"VRF-012","DCE-FE-011","frontend/src/pages/hr-admin/personnel-directory/CustomDatePicker.jsx","REACT_COMPONENT","REMOVED","YES","YES","YES","YES","2c8966b","Superseded by native inputs"
"VRF-013","DCE-FE-012","frontend/src/pages/hr-admin/personnel-directory/DiscardOnboardingDraftModal.jsx","REACT_MODAL","REMOVED","YES","YES","YES","YES","2c8966b","Superseded by inline onboarding reset"
"VRF-014","DCE-FE-013","frontend/src/pages/hr-admin/personnel-directory/FacultyDirectory.jsx","REACT_COMPONENT","REMOVED","YES","YES","YES","YES","2c8966b","Superseded by HRPersonnelDirectoryPage"
"VRF-015","DCE-FE-014","frontend/src/pages/hr-admin/personnel-directory/OnboardingDraftRecoveryBanner.jsx","REACT_COMPONENT","REMOVED","YES","YES","YES","YES","2c8966b","Superseded by HRPersonnelDirectoryController"
"VRF-016","DCE-FE-015","frontend/src/pages/personnel/PersonnelPortfolioForm.jsx","REACT_COMPONENT","REMOVED","YES","YES","YES","YES","2c8966b","Superseded by PersonnelPortfolioEditPage"
"VRF-017","DCE-FE-016","frontend/src/pages/personnel/program-coordinator/ProgramCoordinatorDashboard.jsx","REACT_PAGE","REMOVED","YES","YES","YES","YES","2c8966b","Superseded by CoordinatorDashboardPage"
"VRF-018","DCE-FE-017","frontend/src/pages/personnel/program-coordinator/tabs/CoordinatorQueueTab.jsx","REACT_TAB","REMOVED","YES","YES","YES","YES","2c8966b","Superseded by CoordinatorVerificationQueuePage"
"VRF-019","DCE-FE-018","frontend/src/pages/personnel/organization-moderator/OrganizationModeratorDashboard.jsx","REACT_PAGE","REMOVED","YES","YES","YES","YES","2c8966b","Superseded by OrganizationModeratorDashboardPage"
"VRF-020","DCE-FE-019","frontend/src/models/AcademicStructureModel.js","JS_MODEL","REMOVED","YES","YES","YES","YES","2c8966b","Superseded by OSADAcademicHierarchy"
"VRF-021","DCE-FE-020","frontend/src/components/common/ProtectedRoute.jsx","REACT_COMPONENT","REMOVED","YES","YES","YES","YES","2c8966b","Superseded by RouteAccessController"
"VRF-022","DCE-FE-021","frontend/src/components/osad/OSADQuickActions.jsx","REACT_COMPONENT","REMOVED","YES","YES","YES","YES","2c8966b","Superseded by OSADDashboardPage"
"VRF-023","DCE-BE-001","backend/development/verify-admin-bootstrap-full.mjs","NODE_SCRIPT","REMOVED","YES","YES","YES","YES","99f57a7","Canonical script preserved in backend/scripts/verify-admin-bootstrap-full.mjs"
