"ComponentID","Layer","Domain","PathOrClass","Responsibility","Inputs","Outputs","PrimaryDependencies","Consumers","RouteOrAPI","DatabaseDependency","Classification","CompatibilityRole","Notes"
"CMP-FE-001","Frontend Routing","Core App","frontend/src/App.jsx","Master React application routing & route protection","Browser URL, Auth Context","Rendered Page Route","react-router-dom, AuthContext","Browser Client","All client routes","None","ACTIVE","Root Router","Includes /depsec compatibility redirect"
"CMP-FE-002","Frontend Auth","Security","frontend/src/context/AuthContext.jsx","Client auth state, session restore, active role management","User credentials, session token","Auth state, user object, role helpers","authService, roleContext","All Page Components","/api/v1/auth/*","local_auth_sessions","ACTIVE-SHARED","Session Manager","Supports 10 synthetic demo personas"
"CMP-FE-003","Frontend Client","API Communication","frontend/src/services/apiClient.js","Local-defense HTTP communication, interceptors, auth headers","HTTP Requests","API JSON Responses","axios, authService","All Services","/api/v1/*","None","ACTIVE-SHARED","HTTP Transport","Zero remote cloud network calls"
"CMP-FE-004","Frontend Service","Authentication","frontend/src/services/authService.js","Local authentication, session persistence, role context normalization","Login payload","User profile, session token","apiClient, roleContext","AuthContext, LoginModal","/api/v1/auth/login, /api/v1/auth/me","local_auth_sessions","ACTIVE-SHARED","Auth Adapter","Includes null-safe department_id fallback"
"CMP-FE-005","Frontend Utils","Role Authorization","frontend/src/utils/roleContext.js","Role normalization, canonical role constants, permission resolution","Role string, user object","Canonical role, permission booleans","None","App.jsx, Navigation, Page Guards","None","None","ACTIVE-SHARED","Role Normalizer","Maps legacy department_secretary -> dean"
"CMP-FE-006","Frontend Page","Student Domain","frontend/src/pages/student/StudentDashboardPage.jsx","Student main landing dashboard, achievements summary, announcements","Student Auth Context","Dashboard UI, stats, recent submissions","StudentPortfolioController, apiClient","App.jsx","/student/dashboard","student_profiles, portfolio_records","ACTIVE","Student Landing","DBIC button verified removed"
"CMP-FE-007","Frontend Page","Student Domain","frontend/src/pages/student/StudentPortfolioPage.jsx","Student portfolio management, evidence upload, submission to coordinator","User inputs, physical evidence files","Portfolio records, upload progress","StudentPortfolioController, apiClient","App.jsx","/student/portfolio","portfolio_records, evidence_files","ACTIVE","Student Portfolio","Draft, submit, resubmit workflows"
"CMP-FE-008","Frontend Page","Personnel Domain","frontend/src/pages/personnel/PersonnelDashboardPage.jsx","Faculty/Personnel dashboard, accomplishment tracking, Dean view","Personnel Auth Context","Dashboard UI, accomplishment summary","PersonnelPortfolioController, apiClient","App.jsx","/personnel/dashboard","personnel_profiles, accomplishments","ACTIVE","Personnel Landing","Includes Dean mode and DBIC removal"
"CMP-FE-009","Frontend Page","Personnel Domain","frontend/src/pages/personnel/PersonnelPortfolioEditPage.jsx","Personnel portfolio editor, submit to Dean workflow","Portfolio form inputs","Saved draft, Dean submission confirmation","usePersonnelPortfolio, PortfolioSummaryCard","App.jsx","/personnel/portfolio/edit","personnel_portfolios","ACTIVE","Portfolio Editor","Modernized to Submit to Dean"
"CMP-FE-010","Frontend Page","Coordinator Domain","frontend/src/pages/personnel/program-coordinator/CoordinatorVerificationQueuePage.jsx","Program-scoped verification queue, review, approve, reject","Queue filters, review actions","Approval / revision / rejection results","StudentPortfolioController, apiClient","App.jsx","/personnel/coordinator/verification-queue","portfolio_records, verification_logs","ACTIVE","Coordinator Queue","Strict academic program isolation"
"CMP-FE-011","Frontend Page","Moderator Domain","frontend/src/pages/personnel/organization-moderator/OrganizationModeratorDashboardPage.jsx","Organization event management, attendance scanning, certificate studio","Event inputs, scanner feed","Events, attendance records, certificates","OrganizationController, apiClient","App.jsx","/personnel/moderator/dashboard","org_events, event_attendance","ACTIVE","Moderator Studio","Organization-scoped governance"
"CMP-FE-012","Frontend Page","HR Domain","frontend/src/pages/hr-admin/HRDashboardPage.jsx","HR Administrator overview dashboard, metrics, quick actions","HR Auth Context","HR dashboard UI, summary metrics","HRPersonnelController, apiClient","App.jsx","/hr/dashboard","personnel_profiles, hr_evaluations","ACTIVE","HR Dashboard","Enterprise HR management"
