ContractID,FrontendCallerFile,FrontendFunction,FrontendFeatureDomain,HttpMethod,FrontendEndpoint,PathParameters,QueryParameters,RequestBodyShape,HeadersAuthExpectations,BackendRoute,BackendController,BackendMethod,BackendFilters,RequiredAccountTypes,RequiredRoles,BackendRequestValidation,BackendResponseStatus,BackendResponseShape,FrontendConsumedFields,FrontendErrorHandling,BackendErrorResponses,RuntimeTestOrBoth,CompatibilityAliasStatus,ContractMatchStatus,Confidence,EvidencePaths,Notes
"API-SYS-001","frontend/src/services/apiClient.js","checkHealth()","System / Infrastructure","GET","/api/v1/health","None","None","None","Accept: application/json","api/v1/health","Api\HealthController","index()","None (Public)","PUBLIC","PUBLIC","None","200 OK","{""status"":""ok"",""timestamp"":""..."",""database"":""connected"",""version"":""...""}","status, database","Returns { status: ""unreachable"" } fallback","500 Server Error on DB disconnect","BOTH","CURRENT","MATCHED","HIGH","frontend/src/services/apiClient.js:15,backend/app/Controllers/Api/HealthController.php:14","Liveness and database health verification endpoint"
"API-AUTH-001","frontend/src/services/authService.js","login(credentials)","Authentication","POST","/api/v1/auth/login","None","None","{""identifier"":""string"",""password"":""string""}","Content-Type: application/json","api/v1/auth/login","Api\AuthController","login()","CORS","PUBLIC","PUBLIC","identifier: required|string, password: required|string","200 OK","{""token"":""string"",""user"":{""id"":""string"",""username"":""string"",""account_type"":""string"",""roles"":[""string""],""must_change_password"":bool}}","token, user (id, username, account_type, roles, must_change_password)","Throws Error with backend error message or fallback ""Invalid credentials""","400 Bad Request, 401 Unauthorized (invalid credentials), 403 Forbidden (suspended account)","BOTH","CURRENT","MATCHED","HIGH","frontend/src/services/authService.js:80,backend/app/Controllers/Api/AuthController.php:28","Primary authentication endpoint for all roles"
"API-AUTH-002","frontend/src/services/authService.js","logout()","Authentication","POST","/api/v1/auth/logout","None","None","None","Authorization: Bearer <token>","api/v1/auth/logout","Api\AuthController","logout()","BearerAuth","AUTHENTICATED (All Roles)","AUTHENTICATED","Valid Bearer token","200 OK","{""status"":""logged_out""}","status","Clears localStorage session unconditionally","401 Unauthorized","BOTH","CURRENT","MATCHED","HIGH","frontend/src/services/authService.js:140,backend/app/Controllers/Api/AuthController.php:75","Revokes active server token and destroys session"
"API-AUTH-003","frontend/src/services/authService.js","getMe()","Authentication","GET","/api/v1/auth/me","None","None","None","Authorization: Bearer <token>","api/v1/auth/me","Api\AuthController","me()","BearerAuth","AUTHENTICATED (All Roles)","AUTHENTICATED","Valid Bearer token","200 OK","{""user"":{""id"":""string"",""username"":""string"",""account_type"":""string"",""roles"":[""string""],""college_id"":""string"",""department_id"":""string""}}","user (id, username, account_type, roles, college_id, department_id)","Triggers local session refresh or redirects to login on 401","401 Unauthorized","BOTH","CURRENT","MATCHED","HIGH","frontend/src/services/authService.js:115,backend/app/Controllers/Api/AuthController.php:60","Fetches fresh authenticated user payload and role assignments"
"API-AUTH-004","frontend/src/services/authService.js","changePassword(payload)","Authentication","POST","/api/v1/auth/change-password","None","None","{""current_password"":""string"",""new_password"":""string""}","Authorization: Bearer <token>, Content-Type: application/json","api/v1/auth/change-password","Api\AuthController","changePassword()","BearerAuth","AUTHENTICATED (All Roles)","AUTHENTICATED","current_password: required|string, new_password: required|min_length[8]","200 OK","{""status"":""password_updated""}","status","Displays toast error on validation or credential failure","400 Validation Error, 401 Invalid Current Password","BOTH","CURRENT","MATCHED","HIGH","frontend/src/pages/common/ChangePasswordPage.jsx:45,backend/app/Controllers/Api/AuthController.php:95","Mandatory password change for initial logins or self-service update"
"API-PWD-001","frontend/src/services/passwordResetAdminService.js","submitRequest(payload)","Password Reset","POST","/api/v1/password-reset-requests","None","None","{""identifier"":""string"",""email"":""string"",""reason"":""string""}","Content-Type: application/json","api/v1/password-reset-requests","Api\PasswordResetRequestController","submit()","None (Public Request Form)","PUBLIC","PUBLIC","identifier: required|string, email: required|valid_email","201 Created","{""request_id"":""string"",""status"":""PENDING"",""message"":""Request submitted successfully""}","request_id, status, message","Displays user friendly submission confirmation or error notice","400 Validation Error, 404 User Not Found","BOTH","CURRENT","MATCHED","HIGH","frontend/src/pages/common/ResetPasswordPage.jsx:50,backend/app/Controllers/Api/PasswordResetRequestController.php:30","Submits user password reset request into admin verification queue"
"API-PWD-002","frontend/src/services/passwordResetAdminService.js","listRequests(query)","Password Reset","GET","/api/v1/password-reset-requests","None","?status=PENDING&role=student|personnel","None","Authorization: Bearer <token>","api/v1/password-reset-requests","Api\PasswordResetRequestController","list()","BearerAuth","hr_admin, osad_admin","hr_staff, osad_staff","status: in_list[PENDING,RESOLVED,REJECTED]","200 OK","{""data"":[{""id"":""string"",""user_id"":""string"",""full_name"":""string"",""email"":""string"",""role"":""string"",""status"":""string"",""created_at"":""string""}]}","data (id, user_id, full_name, email, role, status, created_at)","Displays empty table state on network error","401 Unauthorized, 403 Forbidden","BOTH","CURRENT","MATCHED","HIGH","frontend/src/services/passwordResetAdminService.js:25,backend/app/Controllers/Api/PasswordResetRequestController.php:65","Lists password reset requests filtered by admin portal authority (HR vs OSAD)"
"API-PWD-003","frontend/src/services/passwordResetAdminService.js","approveReset(requestId, payload)","Password Reset","POST","/api/v1/password-reset-requests/:id/reset",":id (string)","None","{""temporary_password"":""string""}","Authorization: Bearer <token>, Content-Type: application/json","api/v1/password-reset-requests/(:segment)/reset","Api\PasswordResetRequestController","reset($1)","BearerAuth","hr_admin, osad_admin","hr_staff, osad_staff","id: required|is_natural_no_zero","200 OK","{""status"":""RESOLVED"",""temporary_password"":""string"",""message"":""Password reset successfully""}","status, temporary_password, message","Displays modal with temporary credential details","401 Unauthorized, 403 Forbidden, 404 Request Not Found","BOTH","CURRENT","MATCHED","HIGH","frontend/src/services/passwordResetAdminService.js:45,backend/app/Controllers/Api/PasswordResetRequestController.php:110","Admin issues temporary credentials and forces password change flag"
"API-PWD-004","frontend/src/services/passwordResetAdminService.js","rejectRequest(requestId, payload)","Password Reset","POST","/api/v1/password-reset-requests/:id/reject",":id (string)","None","{""rejection_reason"":""string""}","Authorization: Bearer <token>, Content-Type: application/json","api/v1/password-reset-requests/(:segment)/reject","Api\PasswordResetRequestController","reject($1)","BearerAuth","hr_admin, osad_admin","hr_staff, osad_staff","id: required, rejection_reason: required|string","200 OK","{""status"":""REJECTED"",""message"":""Request rejected""}","status, message","Updates table row status and shows confirmation toast","400 Bad Request, 401 Unauthorized, 403 Forbidden","BOTH","CURRENT","MATCHED","HIGH","frontend/src/services/passwordResetAdminService.js:65,backend/app/Controllers/Api/PasswordResetRequestController.php:150","Admin rejects invalid password reset request with audit record"
"API-ROLE-001","frontend/src/services/roleService.js","assignSpecializedRole(personnelId, payload)","Role Governance","POST","/api/v1/personnel/:id/roles",":id (string / personnel ID)","None","{""roleKey"":""string"",""scopeType"":""string"",""scopeId"":""string""}","Authorization: Bearer <token>, Content-Type: application/json","api/v1/personnel/(:segment)/roles","Api\PersonnelRoleController","assign($1)","BearerAuth","hr_admin, osad_admin","hr_staff, osad_staff","roleKey: in_list[program_coordinator,organization_moderator,dean], scopeId: required","200 OK","{""status"":""assigned"",""role"":""string"",""scope"":""string""}","status, role, scope","Displays toast error on conflict or authorization failure","400 Bad Request, 401 Unauthorized, 403 Forbidden, 409 Conflict","BOTH","CURRENT","MATCHED","HIGH","frontend/src/services/roleService.js:20,backend/app/Controllers/Api/PersonnelRoleController.php:40","Authoritative assignment of specialized role scopes (Coordinators, Moderators, Deans)"
"API-ROLE-002","frontend/src/services/roleService.js","revokeSpecializedRole(personnelId, roleKey)","Role Governance","DELETE","/api/v1/personnel/:id/roles/:roleKey",":id (string), :roleKey (string)","None","None","Authorization: Bearer <token>","api/v1/personnel/(:segment)/roles/(:segment)","Api\PersonnelRoleController","revoke($1, $2)","BearerAuth","hr_admin, osad_admin","hr_staff, osad_staff","Valid personnel ID and roleKey","200 OK","{""status"":""revoked"",""roleKey"":""string""}","status","Updates UI state and shows confirmation toast","401 Unauthorized, 403 Forbidden, 404 Not Found","BOTH","CURRENT","MATCHED","HIGH","frontend/src/services/roleService.js:45,backend/app/Controllers/Api/PersonnelRoleController.php:85","Revokes active specialized role assignment"
"API-HR-001","frontend/src/services/hrAdminService.js","getPersonnelDirectory()","HR Management","GET","/api/v1/hr/personnel","None","?college_id=...&search=...","None","Authorization: Bearer <token>","api/v1/hr/personnel","Api\TargetHRPersonnelController","directory()","BearerAuth","hr_admin","hr_staff","Valid HR staff session","200 OK","{""data"":[{""id"":""string"",""employee_id"":""string"",""full_name"":""string"",""college_name"":""string"",""program_name"":""string"",""rank_title"":""string"",""active_roles"":[""string""]}]}","data (id, employee_id, full_name, college_name, program_name, rank_title, active_roles)","Shows directory error banner with fallback empty array","401 Unauthorized, 403 Forbidden","BOTH","CURRENT","MATCHED","HIGH","frontend/src/hooks/useHR.js:30,backend/app/Controllers/Api/TargetHRPersonnelController.php:35","Authoritative target-schema personnel directory"
"API-HR-002","frontend/src/pages/hr-admin/modals/DeanAssignmentModal.jsx","assignDean(personnelId, payload)","HR Management","POST","/api/v1/hr/personnel/:id/dean-role",":id (string)","None","{""college_id"":""string""}","Authorization: Bearer <token>, Content-Type: application/json","api/v1/hr/personnel/(:segment)/dean-role","Api\TargetHRPersonnelController","assignDean($1)","BearerAuth","hr_admin","hr_staff","college_id: required|is_natural_no_zero","200 OK","{""status"":""assigned"",""dean_user_id"":""string"",""college_id"":""string""}","status, dean_user_id, college_id","Displays toast error on conflict","400 Bad Request, 401 Unauthorized, 403 Forbidden, 409 Conflict","BOTH","CURRENT","MATCHED","HIGH","frontend/src/pages/hr-admin/modals/DeanAssignmentModal.jsx:55,backend/app/Controllers/Api/TargetHRPersonnelController.php:80","Assigns faculty member as Dean of an Academic College"
