SourceFile,SourceType,SourceFeatureDomain,DependencyFile,DependencyType,ImportedOrUsedSymbol,DirectOrIndirect,RuntimeTestOrBoth,ReachabilitySource,Roles,SharedAcrossFeatures,EvidencePattern,InitialDependencyStatus,Confidence,Notes
"frontend/src/App.jsx","SOURCE_FILE","App.jsx","frontend/src/pages/common/LoginPage.jsx","PAGE_USAGE","LoginPage","DIRECT","RUNTIME","REACT_ROUTER / COMPONENT_TREE","ALL_ROLES","YES","frontend/src/App.jsx:3 -> import from './pages/common/LoginPage'","ACTIVE-SHARED-DEPENDENCY","HIGH","Direct local import of LoginPage.jsx"
"frontend/src/App.jsx","SOURCE_FILE","App.jsx","frontend/src/components/layout/MainLayout.jsx","COMPONENT_USAGE","MainLayout","DIRECT","RUNTIME","REACT_ROUTER / COMPONENT_TREE","ALL_ROLES","YES","frontend/src/App.jsx:4 -> import from './components/layout/MainLayout'","ACTIVE-SHARED-DEPENDENCY","HIGH","Direct local import of MainLayout.jsx"
"frontend/src/App.jsx","SOURCE_FILE","App.jsx","frontend/src/components/common/RouteLoadingFallback.jsx","COMPONENT_USAGE","RouteLoadingFallback","DIRECT","RUNTIME","REACT_ROUTER / COMPONENT_TREE","ALL_ROLES","YES","frontend/src/App.jsx:5 -> import from './components/common/RouteLoadingFallback'","ACTIVE-SHARED-DEPENDENCY","HIGH","Direct local import of RouteLoadingFallback.jsx"
"frontend/src/App.jsx","SOURCE_FILE","App.jsx","frontend/src/hooks/useIdleSession.js","HOOK_USAGE","useIdleSession","DIRECT","RUNTIME","REACT_ROUTER / COMPONENT_TREE","ALL_ROLES","YES","frontend/src/App.jsx:6 -> import from './hooks/useIdleSession'","ACTIVE-SHARED-DEPENDENCY","HIGH","Direct local import of useIdleSession.js"
"frontend/src/App.jsx","SOURCE_FILE","App.jsx","frontend/src/components/common/SessionTimeoutModal.jsx","COMPONENT_USAGE","SessionTimeoutModal","DIRECT","RUNTIME","REACT_ROUTER / COMPONENT_TREE","ALL_ROLES","YES","frontend/src/App.jsx:7 -> import from './components/common/SessionTimeoutModal'","ACTIVE-SHARED-DEPENDENCY","HIGH","Direct local import of SessionTimeoutModal.jsx"
"frontend/src/App.jsx","SOURCE_FILE","App.jsx","frontend/src/context/ThemeContext.jsx","CONTEXT_USAGE","{ ThemeProvider }","DIRECT","RUNTIME","REACT_ROUTER / COMPONENT_TREE","ALL_ROLES","YES","frontend/src/App.jsx:8 -> import from './context/ThemeContext'","ACTIVE-SHARED-DEPENDENCY","HIGH","Direct local import of ThemeContext.jsx"
"frontend/src/App.jsx","SOURCE_FILE","App.jsx","frontend/src/context/AuthContext.jsx","CONTEXT_USAGE","{ AuthProvider }","DIRECT","RUNTIME","REACT_ROUTER / COMPONENT_TREE","ALL_ROLES","YES","frontend/src/App.jsx:9 -> import from './context/AuthContext'","ACTIVE-SHARED-DEPENDENCY","HIGH","Direct local import of AuthContext.jsx"
"frontend/src/App.jsx","SOURCE_FILE","App.jsx","frontend/src/context/AuthContext.jsx","CONTEXT_USAGE","{ useAuth }","DIRECT","RUNTIME","REACT_ROUTER / COMPONENT_TREE","ALL_ROLES","YES","frontend/src/App.jsx:9 -> import from './context/AuthContext'","ACTIVE-SHARED-DEPENDENCY","HIGH","Direct local import of AuthContext.jsx"
"frontend/src/App.jsx","SOURCE_FILE","App.jsx","frontend/src/services/authService.js","SERVICE_USAGE","{ getCurrentUser }","DIRECT","RUNTIME","REACT_ROUTER / COMPONENT_TREE","ALL_ROLES","YES","frontend/src/App.jsx:11 -> import from './services/authService'","ACTIVE-SHARED-DEPENDENCY","HIGH","Direct local import of authService.js"
"frontend/src/App.jsx","SOURCE_FILE","App.jsx","frontend/src/controllers/RouteAccessController.js","CONTROLLER_USAGE","RouteAccessController","DIRECT","RUNTIME","REACT_ROUTER / COMPONENT_TREE","ALL_ROLES","YES","frontend/src/App.jsx:12 -> import from './controllers/RouteAccessController'","ACTIVE-SHARED-DEPENDENCY","HIGH","Direct local import of RouteAccessController.js"
"frontend/src/App.jsx","SOURCE_FILE","App.jsx","frontend/src/components/common/ActiveRoleGuard.jsx","COMPONENT_USAGE","ActiveRoleGuard","DIRECT","RUNTIME","REACT_ROUTER / COMPONENT_TREE","ALL_ROLES","YES","frontend/src/App.jsx:14 -> import from './components/common/ActiveRoleGuard'","ACTIVE-SHARED-DEPENDENCY","HIGH","Direct local import of ActiveRoleGuard.jsx"
"frontend/src/App.jsx","SOURCE_FILE","App.jsx","frontend/src/components/security/PermissionRoute.jsx","SECURITY_USAGE","PermissionRoute","DIRECT","RUNTIME","REACT_ROUTER / COMPONENT_TREE","ALL_ROLES","YES","frontend/src/App.jsx:15 -> import from './components/security/PermissionRoute'","ACTIVE-SHARED-DEPENDENCY","HIGH","Direct local import of PermissionRoute.jsx"
"frontend/src/App.jsx","SOURCE_FILE","App.jsx","frontend/src/pages/common/ForbiddenPage.jsx","PAGE_USAGE","ForbiddenPage","DIRECT","RUNTIME","REACT_ROUTER / COMPONENT_TREE","ALL_ROLES","YES","frontend/src/App.jsx:16 -> import from './pages/common/ForbiddenPage'","ACTIVE-SHARED-DEPENDENCY","HIGH","Direct local import of ForbiddenPage.jsx"
"frontend/src/App.jsx","SOURCE_FILE","App.jsx","frontend/src/pages/student/StudentDashboardPage.jsx","DYNAMIC_IMPORT","*","DIRECT","RUNTIME","REACT_ROUTER / COMPONENT_TREE","ALL_ROLES","YES","frontend/src/App.jsx:19 -> import from './pages/student/StudentDashboardPage'","ACTIVE-SHARED-DEPENDENCY","HIGH","Direct local import of StudentDashboardPage.jsx"
"frontend/src/App.jsx","SOURCE_FILE","App.jsx","frontend/src/pages/student/StudentAchievementsPage.jsx","DYNAMIC_IMPORT","*","DIRECT","RUNTIME","REACT_ROUTER / COMPONENT_TREE","ALL_ROLES","YES","frontend/src/App.jsx:20 -> import from './pages/student/StudentAchievementsPage'","ACTIVE-SHARED-DEPENDENCY","HIGH","Direct local import of StudentAchievementsPage.jsx"
"frontend/src/App.jsx","SOURCE_FILE","App.jsx","frontend/src/pages/student/StudentPortfolioPage.jsx","DYNAMIC_IMPORT","*","DIRECT","RUNTIME","REACT_ROUTER / COMPONENT_TREE","ALL_ROLES","YES","frontend/src/App.jsx:21 -> import from './pages/student/StudentPortfolioPage'","ACTIVE-SHARED-DEPENDENCY","HIGH","Direct local import of StudentPortfolioPage.jsx"
"frontend/src/App.jsx","SOURCE_FILE","App.jsx","frontend/src/pages/common/AccountPage.jsx","DYNAMIC_IMPORT","*","DIRECT","RUNTIME","REACT_ROUTER / COMPONENT_TREE","ALL_ROLES","YES","frontend/src/App.jsx:23 -> import from './pages/common/AccountPage'","ACTIVE-SHARED-DEPENDENCY","HIGH","Direct local import of AccountPage.jsx"
"frontend/src/App.jsx","SOURCE_FILE","App.jsx","frontend/src/pages/common/SettingsPage.jsx","DYNAMIC_IMPORT","*","DIRECT","RUNTIME","REACT_ROUTER / COMPONENT_TREE","ALL_ROLES","YES","frontend/src/App.jsx:24 -> import from './pages/common/SettingsPage'","ACTIVE-SHARED-DEPENDENCY","HIGH","Direct local import of SettingsPage.jsx"
"frontend/src/App.jsx","SOURCE_FILE","App.jsx","frontend/src/pages/common/NotificationsPage.jsx","DYNAMIC_IMPORT","*","DIRECT","RUNTIME","REACT_ROUTER / COMPONENT_TREE","ALL_ROLES","YES","frontend/src/App.jsx:25 -> import from './pages/common/NotificationsPage'","ACTIVE-SHARED-DEPENDENCY","HIGH","Direct local import of NotificationsPage.jsx"
"frontend/src/App.jsx","SOURCE_FILE","App.jsx","frontend/src/pages/personnel/PersonnelDashboardPage.jsx","DYNAMIC_IMPORT","*","DIRECT","RUNTIME","REACT_ROUTER / COMPONENT_TREE","ALL_ROLES","YES","frontend/src/App.jsx:27 -> import from './pages/personnel/PersonnelDashboardPage'","ACTIVE-SHARED-DEPENDENCY","HIGH","Direct local import of PersonnelDashboardPage.jsx"
"frontend/src/App.jsx","SOURCE_FILE","App.jsx","frontend/src/pages/personnel/PersonnelPortfolioPage.jsx","DYNAMIC_IMPORT","*","DIRECT","RUNTIME","REACT_ROUTER / COMPONENT_TREE","ALL_ROLES","YES","frontend/src/App.jsx:28 -> import from './pages/personnel/PersonnelPortfolioPage'","ACTIVE-SHARED-DEPENDENCY","HIGH","Direct local import of PersonnelPortfolioPage.jsx"
"frontend/src/App.jsx","SOURCE_FILE","App.jsx","frontend/src/pages/personnel/PersonnelPortfolioEditPage.jsx","DYNAMIC_IMPORT","*","DIRECT","RUNTIME","REACT_ROUTER / COMPONENT_TREE","ALL_ROLES","YES","frontend/src/App.jsx:29 -> import from './pages/personnel/PersonnelPortfolioEditPage'","ACTIVE-SHARED-DEPENDENCY","HIGH","Direct local import of PersonnelPortfolioEditPage.jsx"
"frontend/src/App.jsx","SOURCE_FILE","App.jsx","frontend/src/pages/personnel/PersonnelAchievementsPage.jsx","DYNAMIC_IMPORT","*","DIRECT","RUNTIME","REACT_ROUTER / COMPONENT_TREE","ALL_ROLES","YES","frontend/src/App.jsx:30 -> import from './pages/personnel/PersonnelAchievementsPage'","ACTIVE-SHARED-DEPENDENCY","HIGH","Direct local import of PersonnelAchievementsPage.jsx"
"frontend/src/App.jsx","SOURCE_FILE","App.jsx","frontend/src/pages/hr-admin/HRDashboardPage.jsx","DYNAMIC_IMPORT","*","DIRECT","RUNTIME","REACT_ROUTER / COMPONENT_TREE","ALL_ROLES","YES","frontend/src/App.jsx:32 -> import from './pages/hr-admin/HRDashboardPage'","ACTIVE-SHARED-DEPENDENCY","HIGH","Direct local import of HRDashboardPage.jsx"
"frontend/src/App.jsx","SOURCE_FILE","App.jsx","frontend/src/pages/hr-admin/HRPersonnelDirectoryPage.jsx","DYNAMIC_IMPORT","*","DIRECT","RUNTIME","REACT_ROUTER / COMPONENT_TREE","ALL_ROLES","YES","frontend/src/App.jsx:33 -> import from './pages/hr-admin/HRPersonnelDirectoryPage'","ACTIVE-SHARED-DEPENDENCY","HIGH","Direct local import of HRPersonnelDirectoryPage.jsx"
"frontend/src/App.jsx","SOURCE_FILE","App.jsx","frontend/src/pages/hr-admin/HREvaluationSubmissionsPage.jsx","DYNAMIC_IMPORT","*","DIRECT","RUNTIME","REACT_ROUTER / COMPONENT_TREE","ALL_ROLES","YES","frontend/src/App.jsx:34 -> import from './pages/hr-admin/HREvaluationSubmissionsPage'","ACTIVE-SHARED-DEPENDENCY","HIGH","Direct local import of HREvaluationSubmissionsPage.jsx"
"frontend/src/App.jsx","SOURCE_FILE","App.jsx","frontend/src/pages/hr-admin/HRFacultyEvaluationOversightPage.jsx","DYNAMIC_IMPORT","*","DIRECT","RUNTIME","REACT_ROUTER / COMPONENT_TREE","ALL_ROLES","YES","frontend/src/App.jsx:35 -> import from './pages/hr-admin/HRFacultyEvaluationOversightPage'","ACTIVE-SHARED-DEPENDENCY","HIGH","Direct local import of HRFacultyEvaluationOversightPage.jsx"
"frontend/src/App.jsx","SOURCE_FILE","App.jsx","frontend/src/pages/hr-admin/HRAuditTrailPage.jsx","DYNAMIC_IMPORT","*","DIRECT","RUNTIME","REACT_ROUTER / COMPONENT_TREE","ALL_ROLES","YES","frontend/src/App.jsx:36 -> import from './pages/hr-admin/HRAuditTrailPage'","ACTIVE-SHARED-DEPENDENCY","HIGH","Direct local import of HRAuditTrailPage.jsx"
"frontend/src/App.jsx","SOURCE_FILE","App.jsx","frontend/src/pages/hr-admin/HRRankAssignmentLogsPage.jsx","DYNAMIC_IMPORT","*","DIRECT","RUNTIME","REACT_ROUTER / COMPONENT_TREE","ALL_ROLES","YES","frontend/src/App.jsx:37 -> import from './pages/hr-admin/HRRankAssignmentLogsPage'","ACTIVE-SHARED-DEPENDENCY","HIGH","Direct local import of HRRankAssignmentLogsPage.jsx"
"frontend/src/App.jsx","SOURCE_FILE","App.jsx","frontend/src/pages/hr-admin/HRPasswordResetRequestsPage.jsx","DYNAMIC_IMPORT","*","DIRECT","RUNTIME","REACT_ROUTER / COMPONENT_TREE","ALL_ROLES","YES","frontend/src/App.jsx:38 -> import from './pages/hr-admin/HRPasswordResetRequestsPage'","ACTIVE-SHARED-DEPENDENCY","HIGH","Direct local import of HRPasswordResetRequestsPage.jsx"
"frontend/src/App.jsx","SOURCE_FILE","App.jsx","frontend/src/pages/osad-admin/OSADDashboardPage.jsx","DYNAMIC_IMPORT","*","DIRECT","RUNTIME","REACT_ROUTER / COMPONENT_TREE","ALL_ROLES","YES","frontend/src/App.jsx:40 -> import from './pages/osad-admin/OSADDashboardPage'","ACTIVE-SHARED-DEPENDENCY","HIGH","Direct local import of OSADDashboardPage.jsx"
"frontend/src/App.jsx","SOURCE_FILE","App.jsx","frontend/src/pages/personnel/organization-moderator/OfficerScannerPage.jsx","DYNAMIC_IMPORT","*","DIRECT","RUNTIME","REACT_ROUTER / COMPONENT_TREE","ALL_ROLES","YES","frontend/src/App.jsx:41 -> import from './pages/personnel/organization-moderator/OfficerScannerPage'","ACTIVE-SHARED-DEPENDENCY","HIGH","Direct local import of OfficerScannerPage.jsx"
"frontend/src/App.jsx","SOURCE_FILE","App.jsx","frontend/src/pages/common/PublicCertificateVerificationPage.jsx","DYNAMIC_IMPORT","*","DIRECT","RUNTIME","REACT_ROUTER / COMPONENT_TREE","ALL_ROLES","YES","frontend/src/App.jsx:42 -> import from './pages/common/PublicCertificateVerificationPage'","ACTIVE-SHARED-DEPENDENCY","HIGH","Direct local import of PublicCertificateVerificationPage.jsx"
