RouteID,HttpMethod,FullPath,RouteGroup,RoutePrefix,DefinitionSource,ControllerClass,ControllerMethod,Namespace,Filters,AuthenticationRequired,RequiredAccountTypes,RequiredRoles,ScopeOwnershipRequirement,PublicProtected,FrontendCallers,FrontendContractIDs,TestCallers,ScriptCLICallers,SetupRecoveryCallers,ExternalPublicWorkflow,ResponseType,CompatibilityStatus,InitialRouteStatus,Confidence,EvidencePaths,Notes
"B-ROUTE-001","GET","/","Root","/","backend/app/Config/Routes.php:6","App\Controllers\Home","index","App\Controllers","forcehttps, pagecache, secureheaders","NO","PUBLIC","PUBLIC","None","PUBLIC","Browser Direct Entry","None","backend/tests","None","None","Public root entry","text/html","CURRENT","ACTIVE-PUBLIC","HIGH","backend/app/Config/Routes.php:6,backend/app/Controllers/Home.php","Root HTML entry point"
"B-ROUTE-002","GET","/api/v1/health","api/v1","/api/v1","backend/app/Config/Routes.php:9","App\Controllers\Api\HealthController","index","App\Controllers\Api","cors, secureheaders","NO","PUBLIC","PUBLIC","None","PUBLIC","frontend/src/services/apiClient.js:15","API-SYS-001","spark test:health, Phase 0 baseline","Health check scripts","Disaster Recovery validation","System liveness / health telemetry","application/json","CURRENT","ACTIVE-SHARED","HIGH","backend/app/Config/Routes.php:9,backend/app/Controllers/Api/HealthController.php:14","Database connection & system health monitor"
"B-ROUTE-003","POST","/api/v1/auth/login","api/v1","/api/v1","backend/app/Config/Routes.php:10","App\Controllers\Api\AuthController","login","App\Controllers\Api","cors, secureheaders","NO","PUBLIC","PUBLIC","None","PUBLIC","frontend/src/services/authService.js:80","API-AUTH-001","backend/tests/AuthenticationTest.php","Test seeding commands","None","User login form submission","application/json","CURRENT","ACTIVE-FRONTEND","HIGH","backend/app/Config/Routes.php:10,backend/app/Controllers/Api/AuthController.php:28","Authenticates credentials and returns Bearer token"
"B-ROUTE-004","POST","/api/v1/auth/logout","api/v1","/api/v1","backend/app/Config/Routes.php:12","App\Controllers\Api\AuthController","logout","App\Controllers\Api","cors, secureheaders","YES","AUTHENTICATED","AUTHENTICATED","Self","PROTECTED","frontend/src/services/authService.js:140","API-AUTH-002","backend/tests/AuthenticationTest.php","None","None","User logout action","application/json","CURRENT","ACTIVE-FRONTEND","HIGH","backend/app/Config/Routes.php:12,backend/app/Controllers/Api/AuthController.php:75","Revokes active server token"
"B-ROUTE-005","GET","/api/v1/auth/me","api/v1","/api/v1","backend/app/Config/Routes.php:14","App\Controllers\Api\AuthController","me","App\Controllers\Api","cors, secureheaders","YES","AUTHENTICATED","AUTHENTICATED","Self","PROTECTED","frontend/src/services/authService.js:115","API-AUTH-003","backend/tests/AuthenticationTest.php","None","None","Session validation","application/json","CURRENT","ACTIVE-FRONTEND","HIGH","backend/app/Config/Routes.php:14,backend/app/Controllers/Api/AuthController.php:60","Returns current authenticated user and roles"
"B-ROUTE-006","POST","/api/v1/auth/change-password","api/v1","/api/v1","backend/app/Config/Routes.php:16","App\Controllers\Api\AuthController","changePassword","App\Controllers\Api","cors, secureheaders","YES","AUTHENTICATED","AUTHENTICATED","Self","PROTECTED","frontend/src/pages/common/ChangePasswordPage.jsx:45","API-AUTH-004","backend/tests/AuthenticationTest.php","None","None","Forced/Self-service password update","application/json","CURRENT","ACTIVE-FRONTEND","HIGH","backend/app/Config/Routes.php:16,backend/app/Controllers/Api/AuthController.php:95","Updates user password and clears must_change_password flag"
"B-ROUTE-007","POST","/api/v1/password-reset-requests","api/v1","/api/v1","backend/app/Config/Routes.php:20","App\Controllers\Api\PasswordResetRequestController","submit","App\Controllers\Api","cors, secureheaders","NO","PUBLIC","PUBLIC","None","PUBLIC","frontend/src/pages/common/ResetPasswordPage.jsx:50","API-PWD-001","backend/tests/PasswordResetRequestTest.php","None","None","Public password reset request form","application/json","CURRENT","ACTIVE-FRONTEND","HIGH","backend/app/Config/Routes.php:20,backend/app/Controllers/Api/PasswordResetRequestController.php:30","Submits user reset request into admin verification queue"
"B-ROUTE-008","GET","/api/v1/password-reset-requests","api/v1","/api/v1","backend/app/Config/Routes.php:21","App\Controllers\Api\PasswordResetRequestController","list","App\Controllers\Api","cors, secureheaders","YES","hr_admin, osad_admin","hr_staff, osad_staff","Portal Scoped","PROTECTED","frontend/src/services/passwordResetAdminService.js:25","API-PWD-002","backend/tests/PasswordResetRequestTest.php","None","None","Admin password reset dashboard queue","application/json","CURRENT","ACTIVE-FRONTEND","HIGH","backend/app/Config/Routes.php:21,backend/app/Controllers/Api/PasswordResetRequestController.php:65","Lists requests filtered by admin scope"
"B-ROUTE-009","POST","/api/v1/password-reset-requests/(:segment)/reset","api/v1","/api/v1","backend/app/Config/Routes.php:23","App\Controllers\Api\PasswordResetRequestController","reset","App\Controllers\Api","cors, secureheaders","YES","hr_admin, osad_admin","hr_staff, osad_staff","Admin Authority","PROTECTED","frontend/src/services/passwordResetAdminService.js:45","API-PWD-003","backend/tests/PasswordResetRequestTest.php","None","None","Admin password reset approval","application/json","CURRENT","ACTIVE-FRONTEND","HIGH","backend/app/Config/Routes.php:23,backend/app/Controllers/Api/PasswordResetRequestController.php:110","Admin generates temporary password and marks resolved"
"B-ROUTE-010","POST","/api/v1/password-reset-requests/(:segment)/reject","api/v1","/api/v1","backend/app/Config/Routes.php:25","App\Controllers\Api\PasswordResetRequestController","reject","App\Controllers\Api","cors, secureheaders","YES","hr_admin, osad_admin","hr_staff, osad_staff","Admin Authority","PROTECTED","frontend/src/services/passwordResetAdminService.js:65","API-PWD-004","backend/tests/PasswordResetRequestTest.php","None","None","Admin password reset rejection","application/json","CURRENT","ACTIVE-FRONTEND","HIGH","backend/app/Config/Routes.php:25,backend/app/Controllers/Api/PasswordResetRequestController.php:150","Admin rejects request with recorded reason"
