ArtifactID,Path,Filename,Extension,TrackedState,SizeBytes,Category,Purpose,AuthoritativeSource,CurrentHistorical,ReferencedBy,References,ContainsCommands,ContainsArchitectureClaims,ContainsCredentialsSecrets,ContainsPersonalSensitiveData,Generated,Regenerable,DuplicateOf,SupersededBy,RecommendedFutureLocation,InitialClassification,Confidence,EvidencePaths,Notes
"DOC-ROOT-001",".gitignore",".gitignore","","TRACKED","58","Configuration","Git repository ignore configuration","YES","CURRENT","Git tooling","node_modules, .env","NO","NO","NO","NO","NO","YES","None","None","Root (Preserve)","AUTHORITATIVE-CURRENT","HIGH",".gitignore","Standard root configuration file"
"DOC-ROOT-002","AchieveNest-Test_Pre_Phase7_2026-08-28_0036.dump","AchieveNest-Test_Pre_Phase7_2026-08-28_0036.dump",".dump","TRACKED","579326","Database Dump","Pre-Phase 7 baseline database dump for disaster recovery snapshot","NO (Snapshot)","HISTORICAL","Phase 7 / Phase 8 audit documents","Database schema snapshot","NO","NO","NO (Test data only)","NO (Demo personas only)","YES (mysqldump)","YES","None","None","backend/writable/backups/ or archive/","DATABASE-DUMP","HIGH","AchieveNest-Test_Pre_Phase7_2026-08-28_0036.dump","Tracked root database dump; candidate for relocation in Phase 14"
"DOC-ROOT-003","AchieveNest_Phase_2_Pre_Execution_Migration_Code_Review.md","AchieveNest_Phase_2_Pre_Execution_Migration_Code_Review.md",".md","TRACKED","26736","Historical Implementation Review","Phase 2 pre-execution migration and code review documentation","NO","HISTORICAL","None","Initial migration structure","YES","YES (Early architecture)","NO","NO","NO","NO","None","None","docs/history/","IMPLEMENTATION-HISTORY","HIGH","AchieveNest_Phase_2_Pre_Execution_Migration_Code_Review.md","Root-level historical milestone review; candidate for docs/history/"
"DOC-ROOT-004","AchieveNest_Phase_4_Fresh_Disposable_Database_Build_Report.md","AchieveNest_Phase_4_Fresh_Disposable_Database_Build_Report.md",".md","TRACKED","11918","Historical Implementation Report","Phase 4 fresh build report for disposable database testing","NO","HISTORICAL","None","Database build tests","YES","YES","NO","NO","NO","NO","None","None","docs/reports/","IMPLEMENTATION-HISTORY","HIGH","AchieveNest_Phase_4_Fresh_Disposable_Database_Build_Report.md","Root-level historical milestone report; candidate for docs/reports/"
"DOC-ROOT-005","AchieveNest_Phase_5_Reset_and_Replay_Validation_Report.md","AchieveNest_Phase_5_Reset_and_Replay_Validation_Report.md",".md","TRACKED","13368","Historical Implementation Report","Phase 5 reset and replay validation test report","NO","HISTORICAL","None","Reset commands","YES","YES","NO","NO","NO","NO","None","None","docs/reports/","IMPLEMENTATION-HISTORY","HIGH","AchieveNest_Phase_5_Reset_and_Replay_Validation_Report.md","Root-level historical milestone report; candidate for docs/reports/"
"DOC-ROOT-006","AchieveNest_Phase_6_Fresh_Build_vs_Current_Test_Reconciliation_Report.md","AchieveNest_Phase_6_Fresh_Build_vs_Current_Test_Reconciliation_Report.md",".md","TRACKED","17076","Historical Implementation Report","Phase 6 fresh build vs test reconciliation report","NO","HISTORICAL","None","Schema reconciliation","YES","YES","NO","NO","NO","NO","None","None","docs/reports/","IMPLEMENTATION-HISTORY","HIGH","AchieveNest_Phase_6_Fresh_Build_vs_Current_Test_Reconciliation_Report.md","Root-level historical milestone report; candidate for docs/reports/"
"DOC-ROOT-007","AchieveNest_Phase_7_Test_Reconciliation_Report.md","AchieveNest_Phase_7_Test_Reconciliation_Report.md",".md","TRACKED","14206","Historical Implementation Report","Phase 7 auth test reconciliation report","NO","HISTORICAL","None","Auth test runs","YES","YES","NO","NO","NO","NO","None","None","docs/reports/","IMPLEMENTATION-HISTORY","HIGH","AchieveNest_Phase_7_Test_Reconciliation_Report.md","Root-level historical milestone report; candidate for docs/reports/"
"DOC-ROOT-008","AchieveNest_Phase_8_Application_Security_and_Role_Based_E2E_Validation_Report.md","AchieveNest_Phase_8_Application_Security_and_Role_Based_E2E_Validation_Report.md",".md","TRACKED","26298","Historical Implementation Report","Phase 8 RBAC security and role validation report","NO","HISTORICAL","None","RBAC permissions matrix","YES","YES","NO","NO","NO","NO","None","None","docs/reports/","IMPLEMENTATION-HISTORY","HIGH","AchieveNest_Phase_8_Application_Security_and_Role_Based_E2E_Validation_Report.md","Root-level historical milestone report; candidate for docs/reports/"
"DOC-ROOT-009","AchieveNest_Phase_8_E2E_Test_Matrix.md","AchieveNest_Phase_8_E2E_Test_Matrix.md",".md","TRACKED","25972","Historical Test Matrix","Phase 8 comprehensive test matrix specification","NO","HISTORICAL","None","Test specifications","YES","YES","NO","NO","NO","NO","None","None","docs/reports/","IMPLEMENTATION-HISTORY","HIGH","AchieveNest_Phase_8_E2E_Test_Matrix.md","Root-level historical test matrix; candidate for docs/reports/"
"DOC-ROOT-010","skills-lock.json","skills-lock.json",".json","TRACKED","549","Tooling Configuration","Agent skills synchronization and lock manifest","YES","CURRENT","Agent tooling","Installed agent skills","NO","NO","NO","NO","YES","YES","None","None","Root (Preserve)","AUTHORITATIVE-CURRENT","HIGH","skills-lock.json","Active agent skills configuration"
