table_name,created_by_migration,later_migrations,primary_key,domain,status
"profiles","2026-08-21-000001_CreateIdentityAndAcademicFoundation.php","000002;000003;000004;000053;000055;000060;000061","id","Identity & Auth","ACTIVE"
"colleges","2026-08-21-000001_CreateIdentityAndAcademicFoundation.php","000014;000029","id","Institutional Structure","ACTIVE"
"administrative_units","2026-08-27-000014_CreateTargetInstitutionalStructure.php","000024 embedded reference data","id","Institutional Structure","ACTIVE"
"personnel_profiles","2026-08-27-000015_CreateIdentityAffiliationGovernance.php","000060;000061","profile_id","Personnel Master Data","ACTIVE"
"personnel_qualifications","2026-09-08-000061_AddFacultyStatusAndMasterDataFields.php","","id","Personnel Master Data","ACTIVE"
"personnel_annual_reviews","2026-09-08-000062_CreatePersonnelAnnualReviews.php","","id","Evaluation Eligibility","ACTIVE"
"faculty_rank_catalog","2026-09-08-000064_CreateFacultyRankCatalog.php","000066 embedded part-time title rows","id","Rank Catalog","ACTIVE"
"faculty_rank_transitions","2026-09-08-000065_CreateFacultyRankTransitions.php","","id","Rank Catalog","ACTIVE"
"evaluation_scales","2026-09-08-000063_CreateEvaluationScaleCatalogue.php","","id","Evaluation Instruments","ACTIVE"
"evaluation_scale_versions","2026-09-08-000063_CreateEvaluationScaleCatalogue.php","","id","Evaluation Instruments","ACTIVE"
"evaluation_scale_areas","2026-09-08-000063_CreateEvaluationScaleCatalogue.php","","id","Evaluation Instruments","ACTIVE"
"evaluation_scale_categories","2026-09-08-000063_CreateEvaluationScaleCatalogue.php","","id","Evaluation Instruments","ACTIVE"
"evaluation_scale_subcategories","2026-09-08-000063_CreateEvaluationScaleCatalogue.php","","id","Evaluation Instruments","ACTIVE"
"evaluation_scale_criteria","2026-09-08-000063_CreateEvaluationScaleCatalogue.php","","id","Evaluation Instruments","ACTIVE"
"evaluation_scale_change_events","2026-09-08-000063_CreateEvaluationScaleCatalogue.php","","id","Evaluation Instruments","ACTIVE"
"personnel_evaluation_roots","2026-09-08-000059_CreatePersonnelEvaluationRootsAndLineage.php","","id","Personnel Evaluation","ACTIVE"
"personnel_evaluations","2026-08-24-000005_CreatePersonnelEvaluationDomain.php","000010;000011;000012;000013;000019;000057;000058;000059","id","Personnel Evaluation / Portfolio Versions","ACTIVE"
"personnel_evaluation_items","2026-08-24-000005_CreatePersonnelEvaluationDomain.php","000008;000010;000011;000012;000067","id","Personnel Evaluation","ACTIVE"
"personnel_evaluation_events","2026-08-24-000005_CreatePersonnelEvaluationDomain.php","000010;000011;000012","id","Personnel Evaluation Audit","ACTIVE"
"personnel_accomplishments","2026-08-26-000008_CreatePersonnelAccomplishmentDomain.php","000012;000013","id","Personnel Portfolio","ACTIVE"
"personnel_accomplishment_evidence","2026-08-26-000008_CreatePersonnelAccomplishmentDomain.php","000012;000013","id","Protected Evidence","ACTIVE"
"audit_logs","2026-08-27-000018_CreateNotificationsCertificatesAudit.php","","id","Cross-domain Audit","ACTIVE"
"notifications","2026-08-27-000018_CreateNotificationsCertificatesAudit.php","","id","Workflow Notifications","ACTIVE"
