CandidateID,CandidateType,Path,Reason,Evidence,CurrentRisk,RecommendedFutureAction,RecommendedFutureLocation,RequiredFuturePhase,Notes
"CLEANUP-001","MISPLACED_ROOT_FILE","AchieveNest-Test_Pre_Phase7_2026-08-28_0036.dump","Root-level tracked MySQL database dump (579 KB).","Tracked directly in repository root instead of backup storage location.","LOW","Relocate to archive/ or secure backup directory","archive/ or backend/writable/backups/","Phase 14 (Repository Hygiene & Organization)","Preserved in place for baseline protection."
"CLEANUP-002","MISPLACED_ROOT_FILE","AchieveNest_Phase_2_Pre_Execution_Migration_Code_Review.md","Root-level historical milestone review document.","Located in repository root.","LOW","Relocate to docs/history/","docs/history/","Phase 14","Preserved in place as historical evidence."
"CLEANUP-003","MISPLACED_ROOT_FILE","AchieveNest_Phase_4_Fresh_Disposable_Database_Build_Report.md","Root-level historical implementation milestone report.","Located in repository root.","LOW","Relocate to docs/reports/","docs/reports/","Phase 14","Preserved in place as historical evidence."
"CLEANUP-004","MISPLACED_ROOT_FILE","AchieveNest_Phase_5_Reset_and_Replay_Validation_Report.md","Root-level historical implementation milestone report.","Located in repository root.","LOW","Relocate to docs/reports/","docs/reports/","Phase 14","Preserved in place as historical evidence."
"CLEANUP-005","MISPLACED_ROOT_FILE","AchieveNest_Phase_6_Fresh_Build_vs_Current_Test_Reconciliation_Report.md","Root-level historical implementation milestone report.","Located in repository root.","LOW","Relocate to docs/reports/","docs/reports/","Phase 14","Preserved in place as historical evidence."
"CLEANUP-006","MISPLACED_ROOT_FILE","AchieveNest_Phase_7_Test_Reconciliation_Report.md","Root-level historical implementation milestone report.","Located in repository root.","LOW","Relocate to docs/reports/","docs/reports/","Phase 14","Preserved in place as historical evidence."
"CLEANUP-007","MISPLACED_ROOT_FILE","AchieveNest_Phase_8_Application_Security_and_Role_Based_E2E_Validation_Report.md","Root-level historical implementation milestone report.","Located in repository root.","LOW","Relocate to docs/reports/","docs/reports/","Phase 14","Preserved in place as historical evidence."
"CLEANUP-008","MISPLACED_ROOT_FILE","AchieveNest_Phase_8_E2E_Test_Matrix.md","Root-level historical test matrix.","Located in repository root.","LOW","Relocate to docs/reports/","docs/reports/","Phase 14","Preserved in place as historical evidence."
"CLEANUP-009","TRACKED_GENERATED_ARTIFACT","backend/development/node_modules/","1,108 tracked generated vendor files (20.47 MB) in git index.","Tracked in repository index under backend/development/node_modules.","MEDIUM (Repository bloat)","git rm -r --cached and add to .gitignore (Phase 14)","Ignored via .gitignore","Phase 14","Major repository hygiene cleanup candidate."
"CLEANUP-010","TRACKED_GENERATED_ARTIFACT","node_modules/.vite/deps/","15 tracked generated Vite pre-bundled cache files (6.82 MB) in git index.","Tracked in repository index under node_modules/.vite/deps.","LOW (Cache bloat)","git rm -r --cached and add to .gitignore (Phase 14)","Ignored via .gitignore","Phase 14","Vite build cache artifact; safely regenerable by vite dev."
