"ActionID","BatchNumber","Category","ActionType","SourcePath","DestinationPath","ScopeDescription","Rationale","VerificationMethod","ValidationStatus","CommitHash","RiskLevel","Notes"
"ACT-001","1","Symbol Modernization","SYMBOL_REFACTOR","frontend/src/controllers/PersonnelPortfolioController.js","frontend/src/controllers/PersonnelPortfolioController.js","Modernize submitToDepSec to submitToDean","Institutional terminology reconciliation with Dean workflow","Vitest + Build + Lint","PASSED","48576f0","LOW","Replaced deprecated submitToDepSec symbol with submitToDean"
"ACT-002","1","Symbol Modernization","SYMBOL_REFACTOR","frontend/src/hooks/usePersonnelPortfolio.js","frontend/src/hooks/usePersonnelPortfolio.js","Modernize submitToDepSec to submitToDean hook export","Match controller terminology","Vitest + Build + Lint","PASSED","48576f0","LOW","Export submitToDean"
"ACT-003","1","Symbol Modernization","SYMBOL_REFACTOR","frontend/src/pages/personnel/PersonnelPortfolioEditPage.jsx","frontend/src/pages/personnel/PersonnelPortfolioEditPage.jsx","Update portfolio edit page submission call to submitToDean","Match canonical Dean workflow","Vitest + Build + Lint","PASSED","48576f0","LOW","Updated call and validation feedback"
"ACT-004","1","Symbol Modernization","SYMBOL_REFACTOR","frontend/src/pages/personnel/PortfolioSummaryCard.jsx","frontend/src/pages/personnel/PortfolioSummaryCard.jsx","Update prop onSubmitToDean and button text to Submit to Dean","Match canonical Dean workflow","Vitest + Build + Lint","PASSED","48576f0","LOW","Button now clearly reads Submit to Dean"
"ACT-005","2","Intentional Scope Removal","COMPONENT_REMOVAL","frontend/src/pages/student/modals/DigitalBarcodeIDCardModal.jsx","N/A (Deleted)","Delete Digital Barcode ID Card modal component","Institutional scope decision to remove digital barcode ID card","Vitest + Build + Lint","PASSED","df5ac10","LOW","Removed callers in Student and Personnel dashboards"
"ACT-006","2","Intentional Scope Removal","CALLER_CLEANUP","frontend/src/pages/student/StudentDashboardPage.jsx","frontend/src/pages/student/StudentDashboardPage.jsx","Remove DigitalBarcodeIDCardModal import, button, state, and mount","Clean student dashboard","Vitest + Build + Lint","PASSED","df5ac10","LOW","Zero residual barcode modal references"
"ACT-007","2","Intentional Scope Removal","CALLER_CLEANUP","frontend/src/pages/personnel/PersonnelDashboardPage.jsx","frontend/src/pages/personnel/PersonnelDashboardPage.jsx","Remove DigitalBarcodeIDCardModal import, button, state, and mount","Clean personnel dashboard","Vitest + Build + Lint","PASSED","df5ac10","LOW","Zero residual barcode modal references"
"ACT-008","3","Dead Code Removal","FILE_DELETE","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/portfolio/FacultyPortfolioPane.jsx","N/A (Deleted)","Delete legacy HR Evaluation portfolio pane","Superseded by PortfolioEvaluationStudio","Vitest + Build + Lint","PASSED","2c8966b","LOW","0 callers in repository"
"ACT-009","3","Dead Code Removal","FILE_DELETE","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/rating/NDMURatingPane.jsx","N/A (Deleted)","Delete legacy HR Evaluation rating pane","Superseded by PortfolioEvaluationStudio","Vitest + Build + Lint","PASSED","2c8966b","LOW","0 callers in repository"
"ACT-010","3","Dead Code Removal","FILE_DELETE","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/portfolio/EvidenceDocumentViewer.jsx","N/A (Deleted)","Delete legacy HR Evaluation document viewer","Superseded by PortfolioEvaluationStudio","Vitest + Build + Lint","PASSED","2c8966b","LOW","0 callers in repository"
"ACT-011","3","Dead Code Removal","FILE_DELETE","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/rating/scoring/AutomaticDerivedScoring.jsx","N/A (Deleted)","Delete legacy scoring control","Superseded by AutomaticDerivedControl","Vitest + Build + Lint","PASSED","2c8966b","LOW","0 callers in repository"
"ACT-012","3","Dead Code Removal","FILE_DELETE","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/rating/scoring/FixedOptionScoring.jsx","N/A (Deleted)","Delete legacy scoring control","Superseded by FixedScoreControl","Vitest + Build + Lint","PASSED","2c8966b","LOW","0 callers in repository"
"ACT-013","3","Dead Code Removal","FILE_DELETE","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/rating/scoring/ManualBoundedScoring.jsx","N/A (Deleted)","Delete legacy scoring control","Superseded by ManualBoundedControl","Vitest + Build + Lint","PASSED","2c8966b","LOW","0 callers in repository"
"ACT-014","3","Dead Code Removal","FILE_DELETE","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/rating/scoring/MixedDegreeScoring.jsx","N/A (Deleted)","Delete legacy scoring control","Superseded by MatrixLookupControl","Vitest + Build + Lint","PASSED","2c8966b","LOW","0 callers in repository"
"ACT-015","3","Dead Code Removal","FILE_DELETE","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/rating/scoring/MultiFactorScoring.jsx","N/A (Deleted)","Delete legacy scoring control","Superseded by MultiFactorControl","Vitest + Build + Lint","PASSED","2c8966b","LOW","0 callers in repository"
"ACT-016","3","Dead Code Removal","FILE_DELETE","frontend/src/pages/hr-admin/evaluation-submissions/studio/EvaluationScoreStrip.jsx","N/A (Deleted)","Delete unused studio score strip","Superseded by active score strip in evaluation components","Vitest + Build + Lint","PASSED","2c8966b","LOW","0 callers in repository"
"ACT-017","3","Dead Code Removal","FILE_DELETE","frontend/src/pages/hr-admin/modals/HRScoreAuditModal.jsx","N/A (Deleted)","Delete unused HR score audit modal","Superseded by active evaluation audit controls","Vitest + Build + Lint","PASSED","2c8966b","LOW","0 callers in repository"
"ACT-018","3","Dead Code Removal","FILE_DELETE","frontend/src/pages/hr-admin/personnel-directory/CustomDatePicker.jsx","N/A (Deleted)","Delete unused custom date picker","Superseded by standard HTML5 date inputs & ui components","Vitest + Build + Lint","PASSED","2c8966b","LOW","0 callers in repository"
"ACT-019","3","Dead Code Removal","FILE_DELETE","frontend/src/pages/hr-admin/personnel-directory/DiscardOnboardingDraftModal.jsx","N/A (Deleted)","Delete unused onboarding discard modal","Superseded by inline onboarding reset","Vitest + Build + Lint","PASSED","2c8966b","LOW","0 callers in repository"
"ACT-020","3","Dead Code Removal","FILE_DELETE","frontend/src/pages/hr-admin/personnel-directory/FacultyDirectory.jsx","N/A (Deleted)","Delete legacy faculty directory component","Superseded by HRPersonnelDirectoryPage","Vitest + Build + Lint","PASSED","2c8966b","LOW","0 callers in repository"
"ACT-021","3","Dead Code Removal","FILE_DELETE","frontend/src/pages/hr-admin/personnel-directory/OnboardingDraftRecoveryBanner.jsx","N/A (Deleted)","Delete unused draft recovery banner","Superseded by HRPersonnelDirectoryController draft handling","Vitest + Build + Lint","PASSED","2c8966b","LOW","0 callers in repository"
"ACT-022","3","Dead Code Removal","FILE_DELETE","frontend/src/pages/personnel/PersonnelPortfolioForm.jsx","N/A (Deleted)","Delete legacy personnel portfolio form","Superseded by PersonnelPortfolioEditPage","Vitest + Build + Lint","PASSED","2c8966b","LOW","0 callers in repository"
"ACT-023","3","Dead Code Removal","FILE_DELETE","frontend/src/pages/personnel/program-coordinator/ProgramCoordinatorDashboard.jsx","N/A (Deleted)","Delete unmounted legacy coordinator dashboard component","Superseded by CoordinatorDashboardPage","Vitest + Build + Lint","PASSED","2c8966b","LOW","0 callers in repository"
"ACT-024","3","Dead Code Removal","FILE_DELETE","frontend/src/pages/personnel/program-coordinator/tabs/CoordinatorQueueTab.jsx","N/A (Deleted)","Delete legacy queue tab","Superseded by CoordinatorVerificationQueuePage","Vitest + Build + Lint","PASSED","2c8966b","LOW","0 callers in repository"
"ACT-025","3","Dead Code Removal","FILE_DELETE","frontend/src/pages/personnel/organization-moderator/OrganizationModeratorDashboard.jsx","N/A (Deleted)","Delete unmounted legacy moderator dashboard component","Superseded by OrganizationModeratorDashboardPage","Vitest + Build + Lint","PASSED","2c8966b","LOW","0 callers in repository"
