"Method","Route","FrontendCaller","Controller","Service","Policy","ModelOrTable","AuthRequirement","RoleScope","Compatibility","Status","Notes"
"POST","api/v1/auth/login","authService.login()","AuthController","LocalAuthService","None","users, local_auth_sessions","Public","All Users","None","ACTIVE","Issues local-defense session"
"GET","api/v1/auth/me","authService.getCurrentUser()","AuthController","LocalAuthService","None","users, user_roles","Bearer Token","Authenticated","None","ACTIVE","Restores session identity"
"POST","api/v1/auth/logout","authService.logout()","AuthController","LocalAuthService","None","local_auth_sessions","Bearer Token","Authenticated","None","ACTIVE","Invalidates local session"
"GET","api/v1/health","apiClient.get('/health')","HealthController","None","None","MySQL Database","Public","All","None","ACTIVE","Health & DB connectivity probe"
"GET","api/v1/reference/academic-hierarchy","ReferenceDataService","ReferenceDataController","PermanentReferenceService","None","colleges, academic_programs","Bearer Token","Authenticated","None","ACTIVE","Colleges & programs tree"
"GET","api/v1/reference/permanent-datasets","ReferenceDataService","ReferenceDataController","PermanentReferenceService","None","reference_fingerprints","Bearer Token","Authenticated","None","ACTIVE","SHA-256 dataset fingerprints"
"GET","api/v1/events","OrganizationController","EventController","AuthenticatedActorService","GovernancePolicy","org_events","Bearer Token","Authenticated","None","ACTIVE","Filtered campus events list"
"POST","api/v1/events","OrganizationController","EventController","AuthenticatedActorService","GovernancePolicy","org_events","Bearer Token","Org Moderator, Admin","None","ACTIVE","Creates campus event"
"GET","api/v1/events/{id}","OrganizationController","EventController","AuthenticatedActorService","GovernancePolicy","org_events","Bearer Token","Authenticated","None","ACTIVE","Single event detail"
"GET","api/v1/events/{id}/participants","OrganizationController","EventController","AuthenticatedActorService","GovernancePolicy","event_attendance","Bearer Token","Moderator, Admin","None","ACTIVE","Event attendance list"
"POST","api/v1/events/{id}/participants","OrganizationController","EventController","AuthenticatedActorService","GovernancePolicy","event_attendance","Bearer Token","Moderator, Officer","None","ACTIVE","Scans attendee badge"
"GET","api/v1/hr/personnel","TargetHRPersonnelController","TargetHRPersonnelController","AuthenticatedActorService","PersonnelPolicy","personnel_profiles, colleges","Bearer Token","HR Admin, Dean","None","ACTIVE","Directory search; direct DB join"
"POST","api/v1/hr/personnel/{id}/dean-role","TargetHRPersonnelController","TargetHRPersonnelController","AuthenticatedActorService","GovernancePolicy","dean_assignments","Bearer Token","HR Admin","Phase 5 Provisioning","ACTIVE","Assigns Dean governance role"
"DELETE","api/v1/hr/personnel/{id}/dean-role/{roleId}","TargetHRPersonnelController","TargetHRPersonnelController","AuthenticatedActorService","GovernancePolicy","dean_assignments","Bearer Token","HR Admin","Phase 5 Provisioning","ACTIVE","Revokes Dean role"
"GET","api/v1/hr/personnel/{id}/qualification-reviews","HRPersonnelController","HRPersonnelController","AuthenticatedActorService","PersonnelPolicy","hr_qualification_reviews","Bearer Token","HR Admin, Personnel","None","ACTIVE","Personnel qualification history"
"POST","api/v1/hr/personnel/{id}/qualification-reviews","HRPersonnelController","HRPersonnelController","AuthenticatedActorService","PersonnelPolicy","hr_qualification_reviews","Bearer Token","HR Admin","None","ACTIVE","Records qualification review"
"GET","api/v1/hr/dashboard","HRPersonnelController","HRPersonnelController","AuthenticatedActorService","PersonnelPolicy","hr_evaluations, personnel_profiles","Bearer Token","HR Admin","None","ACTIVE","HR dashboard metrics"
"GET","api/v1/hr/audit","HRPersonnelController","HRPersonnelController","AuthenticatedActorService","PersonnelPolicy","audit_logs","Bearer Token","HR Admin","None","ACTIVE","HR audit trail"
"GET","api/v1/hr/evaluations","HREvaluationController","HREvaluationController","HREvaluationEngine","PersonnelPolicy","hr_evaluations, personnel_profiles","Bearer Token","HR Admin, Dean","None","ACTIVE","Evaluation queue"
"POST","api/v1/hr/evaluations/{id}/start","HREvaluationController","HREvaluationController","HREvaluationEngine","PersonnelPolicy","hr_evaluations","Bearer Token","HR Admin","None","ACTIVE","Starts evaluation (in_progress)"
"POST","api/v1/hr/evaluations/{id}/return","HREvaluationController","HREvaluationController","HREvaluationEngine","PersonnelPolicy","hr_evaluations","Bearer Token","HR Admin","None","ACTIVE","Returns evaluation for revision"
