File,Class,Method,Layer,FeatureDomain,CalledBy,Routes,CallsServices,CallsModelsRepositories,DirectDbAccess,ValidationResponsibility,AuthorizationResponsibility,BusinessLogicResponsibility,StateTransitionResponsibility,CalculationResponsibility,ResponseFormattingResponsibility,AuditLoggingResponsibility,SharedAcrossDomains,TestCoverage,InitialArchitectureStatus,Confidence,EvidencePaths,Notes
"backend/app/Controllers/Api/HealthController.php","HealthController","index","Controller","System / Infrastructure","Frontend apiClient, spark test:health, baseline monitors","GET /api/v1/health","None","None","$this->db->query(""SELECT 1"")","None","None (Public)","System liveness & database ping verification","None","None","JSON status & timestamp envelope","None","YES","spark test:health, Phase 0 baseline","WELL-LAYERED","HIGH","backend/app/Controllers/Api/HealthController.php:14","Clean, standard health check controller"
"backend/app/Controllers/Api/AuthController.php","AuthController","login","Controller","Authentication","Frontend authService.js, tests","POST /api/v1/auth/login","LocalAuthService, LocalTokenService, AuthenticatedActorService","None","Via LocalAuthService ($this->db->table(""users""))","ValidationHelper identifier & password check","Credential verification & account status check","Password verification, session payload creation","Updates last_login_at","None","JSON token & user payload response","Writes auth audit log entry","YES","backend/tests/AuthenticationTest.php","WELL-LAYERED","HIGH","backend/app/Controllers/Api/AuthController.php:28","Delegates auth & token generation to services cleanly"
"backend/app/Controllers/Api/AuthController.php","AuthController","logout","Controller","Authentication","Frontend authService.js, tests","POST /api/v1/auth/logout","LocalTokenService","None","Revokes active bearer token in tokens table","Bearer token existence check","Token validation","Session token invalidation","Marks token revoked","None","JSON status logged_out","Writes logout audit event","YES","backend/tests/AuthenticationTest.php","WELL-LAYERED","HIGH","backend/app/Controllers/Api/AuthController.php:75","Server-side token revocation"
"backend/app/Controllers/Api/AuthController.php","AuthController","me","Controller","Authentication","Frontend authService.js, tests","GET /api/v1/auth/me","AuthenticatedActorService","None","$this->db->table(""users""), $this->db->table(""personnel_role_assignments"")","Bearer token presence","Valid authenticated session","Gathers user profile & specialized roles","None","None","JSON user profile response","None","YES","backend/tests/AuthenticationTest.php","WELL-LAYERED","HIGH","backend/app/Controllers/Api/AuthController.php:60","Retrieves current actor context"
"backend/app/Controllers/Api/AuthController.php","AuthController","changePassword","Controller","Authentication","Frontend ChangePasswordPage.jsx, tests","POST /api/v1/auth/change-password","AuthenticatedActorService, LocalAuthService","None","$this->db->table(""users"")->update()","current_password required, new_password min_length[8]","Current password verification","Password hash update, must_change_password reset","must_change_password = 0","None","JSON status password_updated","Writes security password_changed audit record","YES","backend/tests/AuthenticationTest.php","WELL-LAYERED","HIGH","backend/app/Controllers/Api/AuthController.php:95","Handles forced/self-service password rotation"
"backend/app/Controllers/Api/PasswordResetRequestController.php","PasswordResetRequestController","submit","Controller","Password Reset","Frontend ResetPasswordPage.jsx, tests","POST /api/v1/password-reset-requests","None","None","$this->db->table(""password_reset_requests"")->insert()","identifier required, email valid_email","None (Public Form)","Queue reset request for admin approval","status = PENDING","None","JSON request_id & status 201","Writes password_reset_requested audit log","YES","backend/tests/PasswordResetRequestTest.php","WELL-LAYERED","HIGH","backend/app/Controllers/Api/PasswordResetRequestController.php:30","Public reset request ingestion"
"backend/app/Controllers/Api/PasswordResetRequestController.php","PasswordResetRequestController","list","Controller","Password Reset","Frontend passwordResetAdminService.js, tests","GET /api/v1/password-reset-requests","AuthenticatedActorService, AuthorizationService","None","$this->db->table(""password_reset_requests"")->get()","status enum validation","HR Staff for personnel, OSAD Staff for students","Portal-scoped request queue retrieval","None","None","JSON array of requests","None","YES","backend/tests/PasswordResetRequestTest.php","WELL-LAYERED","HIGH","backend/app/Controllers/Api/PasswordResetRequestController.php:65","Portal-scoped request queue"
"backend/app/Controllers/Api/PasswordResetRequestController.php","PasswordResetRequestController","reset","Controller","Password Reset","Frontend passwordResetAdminService.js, tests","POST /api/v1/password-reset-requests/(:segment)/reset","AuthenticatedActorService, AuthorizationService","None","$this->db->table(""password_reset_requests""), $this->db->table(""users"")","Valid request ID","HR/OSAD Staff authority","Generates temp password, sets must_change_password=1","status = RESOLVED","None","JSON temporary password envelope","Writes password_reset_resolved audit record","YES","backend/tests/PasswordResetRequestTest.php","WELL-LAYERED","HIGH","backend/app/Controllers/Api/PasswordResetRequestController.php:110","Admin password reset resolution"
"backend/app/Controllers/Api/PersonnelRoleController.php","PersonnelRoleController","assign","Controller","Role Governance","Frontend roleService.js, tests","POST /api/v1/personnel/(:segment)/roles","AuthenticatedActorService, GovernancePolicy","None","$this->db->table(""personnel_role_assignments"")","roleKey in_list, scopeId valid","HR/OSAD admin policy enforcement","Enforces single-moderator constraint, validates scopes","Inserts active role assignment","None","JSON status assigned","Writes role_assigned audit record","YES","backend/tests/PersonnelRoleTest.php","WELL-LAYERED","HIGH","backend/app/Controllers/Api/PersonnelRoleController.php:40","Authoritative specialized role assignment"
"backend/app/Controllers/Api/PersonnelRoleController.php","PersonnelRoleController","revoke","Controller","Role Governance","Frontend roleService.js, tests","DELETE /api/v1/personnel/(:segment)/roles/(:segment)","AuthenticatedActorService, GovernancePolicy","None","$this->db->table(""personnel_role_assignments"")->delete()","Valid role assignment ID","HR/OSAD admin policy enforcement","Deletes assignment, removes role scope","Role assignment deleted","None","JSON status revoked","Writes role_revoked audit record","YES","backend/tests/PersonnelRoleTest.php","WELL-LAYERED","HIGH","backend/app/Controllers/Api/PersonnelRoleController.php:85","Authoritative specialized role revocation"
