CandidateID,Path,SymbolClassMethod,ArtifactType,FeatureDomain,PhaseFirstIdentified,StaticImportCallerEvidence,RouteCallerEvidence,DynamicFrameworkDiscoveryEvidence,BackendAPICallerEvidence,TestCallerEvidence,ScriptCLICallerEvidence,SetupRecoveryCallerEvidence,CompatibilityRole,HistoricalRole,SharedRole,Replacement,DuplicateSuccessor,CurrentRuntimeReachable,UserProductScopeDecision,PrimaryStatus,Confidence,RemovalPreconditions,Phase14ActionCandidate,Phase15ValidationRequirements,EvidencePaths,Notes
"DCE-FE-001","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/portfolio/FacultyPortfolioPane.jsx","FacultyPortfolioPane","PAGE_COMPONENT","hr-admin/evaluation","Phase 3","None (0 static imports)","None (0 route bindings)","None (0 dynamic imports)","None (0 API calls)","None (0 test imports)","None (0 CLI calls)","None","None","Superseded early portfolio pane prototype","None","frontend/src/pages/hr-admin/evaluation-submissions/studio/portfolio/PortfolioNavigator.jsx","PortfolioNavigator.jsx","NO","RETAIN_UNTIL_PHASE14","HIGH-CONFIDENCE-DEAD-CODE-CANDIDATE","HIGH","Verify PortfolioNavigator fully covers portfolio navigation in Evaluation Studio","REMOVE","Run Vitest suite; verify HR Evaluation Studio loads correctly","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/portfolio/FacultyPortfolioPane.jsx, docs/audit/PHASE_3_FRONTEND_DEPENDENCY_AUDIT.md:102","Clean supersession by PortfolioNavigator.jsx."
"DCE-FE-002","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/rating/NDMURatingPane.jsx","NDMURatingPane","PAGE_COMPONENT","hr-admin/evaluation","Phase 3","None (0 static imports)","None (0 route bindings)","None (0 dynamic imports)","None (0 API calls)","None (0 test imports)","None (0 CLI calls)","None","None","Superseded prototype rating pane","None","frontend/src/pages/hr-admin/evaluation-submissions/studio/evaluation/CriterionEvaluation.jsx","CriterionEvaluation.jsx","NO","RETAIN_UNTIL_PHASE14","HIGH-CONFIDENCE-DEAD-CODE-CANDIDATE","HIGH","Verify CriterionEvaluation covers rubric rating calculations","REMOVE","Run Vitest suite; smoke test criteria evaluation modal","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/rating/NDMURatingPane.jsx, docs/audit/PHASE_3_FRONTEND_DEPENDENCY_AUDIT.md:104","Clean supersession by CriterionEvaluation.jsx."
"DCE-FE-003","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/portfolio/EvidenceDocumentViewer.jsx","EvidenceDocumentViewer","PAGE_COMPONENT","hr-admin/evaluation","Phase 3","None (0 static imports)","None (0 route bindings)","None (0 dynamic imports)","None (0 API calls)","None (0 test imports)","None (0 CLI calls)","None","None","Superseded document viewer modal","None","frontend/src/pages/hr-admin/evaluation-submissions/studio/portfolio/PortfolioNavigator.jsx","PortfolioNavigator.jsx","NO","RETAIN_UNTIL_PHASE14","HIGH-CONFIDENCE-DEAD-CODE-CANDIDATE","HIGH","Verify evidence attachment rendering in PortfolioNavigator","REMOVE","Run Vitest suite; test faculty evidence PDF/image rendering","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/portfolio/EvidenceDocumentViewer.jsx, docs/audit/PHASE_3_FRONTEND_DEPENDENCY_AUDIT.md:103","Clean supersession by PortfolioNavigator.jsx."
"DCE-FE-004","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/rating/scoring/AutomaticDerivedScoring.jsx","AutomaticDerivedScoring","PAGE_COMPONENT","hr-admin/scoring","Phase 3","None (0 static imports)","None (0 route bindings)","None (0 dynamic imports)","None (0 API calls)","None (0 test imports)","None (0 CLI calls)","None","None","Superseded scoring subcomponent","None","frontend/src/pages/hr-admin/evaluation-submissions/studio/evaluation/scoring/AutomaticDerivedControl.jsx","AutomaticDerivedControl.jsx","NO","RETAIN_UNTIL_PHASE14","HIGH-CONFIDENCE-DEAD-CODE-CANDIDATE","HIGH","Verify AutomaticDerivedControl handles automated formula calculations","REMOVE","Run Vitest suite; test automatic derived criteria calculation","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/rating/scoring/AutomaticDerivedScoring.jsx, docs/audit/PHASE_3_FRONTEND_DEPENDENCY_AUDIT.md:105","Clean supersession by AutomaticDerivedControl.jsx."
"DCE-FE-005","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/rating/scoring/FixedOptionScoring.jsx","FixedOptionScoring","PAGE_COMPONENT","hr-admin/scoring","Phase 3","None (0 static imports)","None (0 route bindings)","None (0 dynamic imports)","None (0 API calls)","None (0 test imports)","None (0 CLI calls)","None","None","Superseded scoring subcomponent","None","frontend/src/pages/hr-admin/evaluation-submissions/studio/evaluation/scoring/FixedScoreControl.jsx","FixedScoreControl.jsx","NO","RETAIN_UNTIL_PHASE14","HIGH-CONFIDENCE-DEAD-CODE-CANDIDATE","HIGH","Verify FixedScoreControl handles dropdown option point assignment","REMOVE","Run Vitest suite; test fixed point criteria evaluation","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/rating/scoring/FixedOptionScoring.jsx, docs/audit/PHASE_3_FRONTEND_DEPENDENCY_AUDIT.md:106","Clean supersession by FixedScoreControl.jsx."
"DCE-FE-006","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/rating/scoring/ManualBoundedScoring.jsx","ManualBoundedScoring","PAGE_COMPONENT","hr-admin/scoring","Phase 3","None (0 static imports)","None (0 route bindings)","None (0 dynamic imports)","None (0 API calls)","None (0 test imports)","None (0 CLI calls)","None","None","Superseded scoring subcomponent","None","frontend/src/pages/hr-admin/evaluation-submissions/studio/evaluation/scoring/ManualBoundedControl.jsx","ManualBoundedControl.jsx","NO","RETAIN_UNTIL_PHASE14","HIGH-CONFIDENCE-DEAD-CODE-CANDIDATE","HIGH","Verify ManualBoundedControl enforces min/max point validation","REMOVE","Run Vitest suite; test manual bounded rating inputs","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/rating/scoring/ManualBoundedScoring.jsx, docs/audit/PHASE_3_FRONTEND_DEPENDENCY_AUDIT.md:107","Clean supersession by ManualBoundedControl.jsx."
"DCE-FE-007","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/rating/scoring/MixedDegreeScoring.jsx","MixedDegreeScoring","PAGE_COMPONENT","hr-admin/scoring","Phase 3","None (0 static imports)","None (0 route bindings)","None (0 dynamic imports)","None (0 API calls)","None (0 test imports)","None (0 CLI calls)","None","None","Superseded matrix rating subcomponent","None","frontend/src/pages/hr-admin/evaluation-submissions/studio/evaluation/scoring/MatrixLookupControl.jsx","MatrixLookupControl.jsx","NO","RETAIN_UNTIL_PHASE14","HIGH-CONFIDENCE-DEAD-CODE-CANDIDATE","HIGH","Verify MatrixLookupControl implements NDMU academic matrix lookup tables","REMOVE","Run Vitest suite; test degree/rank matrix calculations","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/rating/scoring/MixedDegreeScoring.jsx, docs/audit/PHASE_3_FRONTEND_DEPENDENCY_AUDIT.md:108","Clean supersession by MatrixLookupControl.jsx."
"DCE-FE-008","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/rating/scoring/MultiFactorScoring.jsx","MultiFactorScoring","PAGE_COMPONENT","hr-admin/scoring","Phase 3","None (0 static imports)","None (0 route bindings)","None (0 dynamic imports)","None (0 API calls)","None (0 test imports)","None (0 CLI calls)","None","None","Superseded multifactor rating subcomponent","None","frontend/src/pages/hr-admin/evaluation-submissions/studio/evaluation/scoring/MultiFactorControl.jsx","MultiFactorControl.jsx","NO","RETAIN_UNTIL_PHASE14","HIGH-CONFIDENCE-DEAD-CODE-CANDIDATE","HIGH","Verify MultiFactorControl calculates multi-variable weighted criteria","REMOVE","Run Vitest suite; test multi-factor criteria scoring","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/rating/scoring/MultiFactorScoring.jsx, docs/audit/PHASE_3_FRONTEND_DEPENDENCY_AUDIT.md:109","Clean supersession by MultiFactorControl.jsx."
"DCE-FE-009","frontend/src/pages/hr-admin/evaluation-submissions/studio/EvaluationScoreStrip.jsx","EvaluationScoreStrip","PAGE_COMPONENT","hr-admin/studio","Phase 3","None (0 static imports)","None (0 route bindings)","None (0 dynamic imports)","None (0 API calls)","None (0 test imports)","None (0 CLI calls)","None","None","Superseded standalone score strip","None","frontend/src/pages/hr-admin/evaluation-submissions/studio/StudioHeader.jsx","StudioHeader.jsx","NO","RETAIN_UNTIL_PHASE14","HIGH-CONFIDENCE-DEAD-CODE-CANDIDATE","HIGH","Verify StudioHeader displays cumulative score summaries","REMOVE","Run Vitest suite; smoke test Evaluation Studio header","frontend/src/pages/hr-admin/evaluation-submissions/studio/EvaluationScoreStrip.jsx, docs/audit/PHASE_3_FRONTEND_DEPENDENCY_AUDIT.md:110","Integrated directly into StudioHeader.jsx."
"DCE-FE-010","frontend/src/pages/hr-admin/modals/HRScoreAuditModal.jsx","HRScoreAuditModal","PAGE_COMPONENT","hr-admin/modals","Phase 3","None (0 static imports)","None (0 route bindings)","None (0 dynamic imports)","None (0 API calls)","None (0 test imports)","None (0 CLI calls)","None","None","Superseded audit modal","None","frontend/src/pages/hr-admin/evaluation-submissions/studio/StudioDecisionBar.jsx","StudioDecisionBar.jsx","NO","RETAIN_UNTIL_PHASE14","HIGH-CONFIDENCE-DEAD-CODE-CANDIDATE","HIGH","Verify StudioDecisionBar contains evaluation approval/rejection audit trail","REMOVE","Run Vitest suite; smoke test evaluation finalization flow","frontend/src/pages/hr-admin/modals/HRScoreAuditModal.jsx, docs/audit/PHASE_3_FRONTEND_DEPENDENCY_AUDIT.md:111","Superseded by inline StudioDecisionBar actions."
