ArtifactID,Path,ArtifactType,Technology,Purpose,CurrentCallerConsumer,RuntimeUsed,TestUsed,ScriptUsed,DocumentationOnly,NetworkDependency,DatabaseDependency,EnvironmentVariables,CompatibilityRole,HistoricalRole,ReplacementTechnology,RemovalPreconditions,InitialClassification,Confidence,EvidencePaths,Notes
"LEG-BE-001","backend/app/Services/SupabaseAuthService.php","PHP Service Class","Supabase Auth (Hosted API)","Legacy hosted Supabase bearer token verification service fallback","AuthenticatedActorService (fallback only)","NO (LocalAuthService handles all active requests)","Phase8Step2AuthE2ETest (mocked/historical)","NO","NO","DISABLED / OFFLINE STUB","NO","SUPABASE_URL, SUPABASE_KEY","OFFLINE_FALLBACK_STUB","Hosted authentication adapter","LocalAuthService & LocalTokenService","Remove fallback branch in AuthenticatedActorService & update historical test mocks in Phase 14","ACTIVE-OFFLINE-STUB","HIGH","backend/app/Services/SupabaseAuthService.php, backend/app/Services/AuthenticatedActorService.php:51","Preserved as offline defense fallback stub"
"LEG-BE-002","backend/app/Services/SupabaseAdminAuthService.php","PHP Service Class","Supabase Admin API (Service Role)","Legacy admin password reset & user deletion fallback service","PasswordResetRequestController, AuthController, ProvisioningController (default parameters)","NO (Local password hash updates handle all active requests)","PasswordResetRequestTest (mocked)","NO","NO","DISABLED / OFFLINE STUB","NO","SUPABASE_SERVICE_ROLE_KEY","OFFLINE_FALLBACK_STUB","Service role admin provisioning","LocalAuthService & local password hash updates","Remove parameter defaults and unused service instantiation in controllers during Phase 14 refactor","ACTIVE-OFFLINE-STUB","HIGH","backend/app/Services/SupabaseAdminAuthService.php, backend/app/Controllers/Api/PasswordResetRequestController.php:32","Preserved as offline fallback stub"
"LEG-SCR-001","backend/scripts/verify-admin-bootstrap-full.mjs","Node Script (ESM)","PostgreSQL (pg.Pool) & Supabase JS","Historical admin bootstrap verification script against PostgreSQL database","None (superseded by spark test:phase15-backend)","NO","NO","HISTORICAL ONLY","NO","EXTERNAL (Supabase/PostgreSQL if executed)","PostgreSQL (port 5432)","SUPABASE_URL, database.development.*","NONE","Early database bootstrap verifier","spark test:phase15-backend & db:verify-defense","Catalogued for archive or deletion in Phase 14 repository cleanup","HISTORICAL-SCRIPT","HIGH","backend/scripts/verify-admin-bootstrap-full.mjs","Historical verification artifact"
"LEG-SCR-002","backend/development/verify-admin-bootstrap-full.mjs","Node Script (ESM)","PostgreSQL (pg.Pool) & Supabase JS","Duplicate historical development copy of admin bootstrap verifier","None","NO","NO","HISTORICAL ONLY","NO","EXTERNAL (Supabase/PostgreSQL if executed)","PostgreSQL (port 5432)","SUPABASE_URL, database.development.*","NONE","Early development testing copy","spark test:phase15-backend","Remove duplicate script during Phase 14 cleanup","DEPRECATION-CANDIDATE","HIGH","backend/development/verify-admin-bootstrap-full.mjs","Duplicate historical tool candidate"
"LEG-FE-001","frontend/src/config/supabase.js","JavaScript Module","Supabase JS Client (@supabase/supabase-js)","Frontend Supabase client initialization (used by offline zero-call test assertions)","authService.js, AuthContext.jsx, zero-call test suites","NO (Local defense mode bypasses all Supabase calls)","YES (supabaseZeroCallLocalDefense.test.js mocks and asserts 0 calls)","NO","NO","DISABLED (Bypassed in local defense)","NO","VITE_SUPABASE_URL, VITE_SUPABASE_ANON_KEY","ACTIVE_VALIDATION_STUB","Hosted frontend auth client","frontend/src/services/apiClient.js & local auth token storage","Retire zero-call tests and replace with pure local-defense tests in Phase 14 before removing file","ACTIVE-VALIDATION","HIGH","frontend/src/config/supabase.js, frontend/src/services/__tests__/supabaseZeroCallLocalDefense.test.js:4","Actively mocked by regression tests to guarantee zero cloud network calls"
"LEG-FE-002","frontend/package.json","Package Manifest","@supabase/supabase-js (v2.95.3)","NPM package dependency for Supabase JavaScript client","frontend/src/config/supabase.js","NO (Loaded but unused in local defense path)","YES (Vitest mocks @supabase/supabase-js)","NO","NO","NO","NO","None","TEST_VALIDATION_DEPENDENCY","Hosted frontend SDK","Native Axios / fetch HTTP client","Remove from package.json in Phase 14 after retiring Supabase test mocks","LEGACY-DEPENDENCY","HIGH","frontend/package.json:15","Legacy dependency retained for zero-call test mocks"
"LEG-PKG-001","backend/development/package.json","Package Manifest","@supabase/supabase-js, pg","Node dependencies for historical PostgreSQL/Supabase scripts","Historical scripts in backend/development/","NO","NO","Historical bootstrap scripts","NO","NO","NO","None","HISTORICAL_TOOLING_DEPENDENCY","Early node provisioning scripts","CodeIgniter PHP Spark seeders & CLI tools","Remove backend/development/node_modules/ and prune package.json in Phase 14","LEGACY-DEPENDENCY","HIGH","backend/development/package.json","Tracked dependencies for historical scripts"
"LEG-ENV-001","backend/env","Environment Template","Supabase & PostgreSQL Environment Variables","Configuration keys for Supabase URL, anon key, service key, and Postgres port","CodeIgniter Env loader","NO (MySQL database.default.* used for all runtime connections)","NO","Historical scripts read .env","NO","NO","NO","SUPABASE_URL, SUPABASE_KEY, SUPABASE_SERVICE_ROLE_KEY, database.development.*","HISTORICAL_CONFIGURATION","Cloud deployment configuration","Local MySQL WAMP environment settings (database.default.*)","Prune unused Supabase env keys in Phase 14 cleanup","LEGACY-ENVIRONMENT-REFERENCE","HIGH","backend/env","Unused legacy environment template variables"
"LEG-DOC-001","AchieveNest_Phase_2_Pre_Execution_Migration_Code_Review.md","Historical Documentation","PostgreSQL Schema & Supabase RLS Policies","Early code review analyzing PostgreSQL table constraints and RLS security","None (Historical audit trail)","NO","NO","NO","YES","NO","NO","None","HISTORICAL_EVIDENCE","Milestone review documentation","Phase 6/7/8 Architecture Audits & MySQL 8.4 Migrations","Retain intact in docs/history/ for audit trail preservation","HISTORICAL-DOCUMENTATION","HIGH","AchieveNest_Phase_2_Pre_Execution_Migration_Code_Review.md","Historical architecture documentation"
"LEG-DOC-002","AchieveNest_Phase_8_Application_Security_and_Role_Based_E2E_Validation_Report.md","Historical Documentation","RLS Replacement & Authorization Matrix","Documents transition from PostgreSQL RLS to application-level RBAC policies","None (Historical audit trail)","NO","NO","NO","YES","NO","NO","None","HISTORICAL_EVIDENCE","RBAC transition verification report","Phase 6 Responsibility Audit & CodeIgniter Policy Classes","Retain intact in docs/reports/ for audit trail preservation","HISTORICAL-DOCUMENTATION","HIGH","AchieveNest_Phase_8_Application_Security_and_Role_Based_E2E_Validation_Report.md","Historical RBAC proof report"
