ArtifactID,Path,ReasonInvestigated,RetentionReason,Status,EvidencePaths,Notes
"RET-001","frontend/src/config/supabase.js","Investigated for legacy Supabase client references","Preserved as offline defense stub for zero-call tests","VALIDATION-RETAIN","frontend/src/config/supabase.js, frontend/src/services/__tests__/supabaseZeroCallLocalDefense.test.js","Ensures 100% zero cloud egress in local defense runtime."
"RET-002","backend/app/Services/SupabaseAuthService.php","Investigated for legacy cloud auth dependency","Preserved as offline fallback stub until zero-call test modernization in Phase 14","COMPATIBILITY-RETAIN","backend/app/Services/SupabaseAuthService.php, backend/app/Services/AuthenticatedActorService.php","Referenced in fallback branch; required by current PHPUnit test mocks."
"RET-003","backend/app/Services/SupabaseAdminAuthService.php","Investigated for legacy cloud admin auth dependency","Preserved as offline fallback stub until controller parameter modernization in Phase 14","COMPATIBILITY-RETAIN","backend/app/Services/SupabaseAdminAuthService.php, backend/app/Controllers/AuthController.php","Referenced as default parameter in AuthController and ProvisioningController."
"RET-004","backend/scripts/verify-admin-bootstrap-full.mjs","Investigated as duplicate of development script","Preserved as canonical historical bootstrap verification script","HISTORICAL-RETAIN","backend/scripts/verify-admin-bootstrap-full.mjs, docs/audit/PHASE_8_SCRIPT_REVIEW_CANDIDATES.csv:3","Canonical historical script in scripts/ directory."
"RET-005","backend/spark","Investigated for non-HTTP entry points","CodeIgniter 4 CLI executable binary/runner","FRAMEWORK-GENERATED-RETAIN","backend/spark, docs/audit/PHASE_8_NON_HTTP_ENTRY_POINT_REGISTER.csv:2","Core framework CLI runner for migrations, seeders, and spark commands."
"RET-006","backend/app/Database/Migrations/*.php (26 files)","Investigated for schema history linkage","All 26 migrations establish immutable schema lineage across phases","FRAMEWORK-GENERATED-RETAIN","backend/app/Database/Migrations/, docs/audit/PHASE_7_DATABASE_MIGRATION_SEED_LINKAGE_AUDIT.md","Protected by Phase 7 evidence; mandatory for database migration history."
"RET-007","backend/app/Database/Seeds/*.php (15 files)","Investigated for database seed usage","Seeders provide baseline role accounts, schema structures, and local demo data","SETUP-RECOVERY-RETAIN","backend/app/Database/Seeds/, docs/audit/PHASE_7_DATABASE_MIGRATION_SEED_LINKAGE_AUDIT.md","Mandatory for local-defense database initialization and test setup."
"RET-008","backend/scripts/run-all-tests.bat","Investigated for script execution","Automated test runner batch script for complete system test suite","TEST-ONLY-RETAIN","backend/scripts/run-all-tests.bat, docs/audit/PHASE_8_NON_HTTP_ENTRY_POINT_REGISTER.csv:5","Operational test tooling."
"RET-009","backend/scripts/run-offline-defense.bat","Investigated for script execution","Automated batch script for local-defense validation","VALIDATION-RETAIN","backend/scripts/run-offline-defense.bat, docs/audit/PHASE_8_NON_HTTP_ENTRY_POINT_REGISTER.csv:6","Operational offline defense validation tooling."
"RET-010","backend/scripts/seed-local-defense.mjs","Investigated for script execution","Database seeding automation for local defense environment","SETUP-RECOVERY-RETAIN","backend/scripts/seed-local-defense.mjs, docs/audit/PHASE_8_NON_HTTP_ENTRY_POINT_REGISTER.csv:7","Operational setup tooling."
"RET-011","backend/scripts/test-local-defense.mjs","Investigated for script execution","Automated local defense test suite runner","TEST-ONLY-RETAIN","backend/scripts/test-local-defense.mjs, docs/audit/PHASE_8_NON_HTTP_ENTRY_POINT_REGISTER.csv:9","Operational test tooling."
"RET-012","backend/scripts/verify-local-defense.mjs","Investigated for script execution","Local defense integrity verification tool","VALIDATION-RETAIN","backend/scripts/verify-local-defense.mjs, docs/audit/PHASE_8_NON_HTTP_ENTRY_POINT_REGISTER.csv:10","Operational validation tooling."
"RET-013","backend/scripts/verify-schema.mjs","Investigated for script execution","Database schema verification tool","VALIDATION-RETAIN","backend/scripts/verify-schema.mjs, docs/audit/PHASE_8_NON_HTTP_ENTRY_POINT_REGISTER.csv:11","Operational schema tooling."
"RET-014","backend/scripts/check-migrations.mjs","Investigated for script execution","Database migration status checker","VALIDATION-RETAIN","backend/scripts/check-migrations.mjs, docs/audit/PHASE_8_NON_HTTP_ENTRY_POINT_REGISTER.csv:12","Operational migration tooling."
"RET-015","backend/scripts/smoke-test.mjs","Investigated for script execution","Automated smoke testing script for backend API routes","TEST-ONLY-RETAIN","backend/scripts/smoke-test.mjs, docs/audit/PHASE_8_NON_HTTP_ENTRY_POINT_REGISTER.csv:13","Operational test tooling."
"RET-016","backend/scripts/reset-demo-state.mjs","Investigated for script execution","Demo state reset automation tool","SETUP-RECOVERY-RETAIN","backend/scripts/reset-demo-state.mjs, docs/audit/PHASE_8_NON_HTTP_ENTRY_POINT_REGISTER.csv:14","Operational recovery tooling."
"RET-017","backend/development/setup-admin.mjs","Investigated for script execution","Admin user setup tool for development","SETUP-RECOVERY-RETAIN","backend/development/setup-admin.mjs, docs/audit/PHASE_8_NON_HTTP_ENTRY_POINT_REGISTER.csv:3","Operational setup tooling."
"RET-018","frontend/src/test/setup.js","Investigated as uncalled in static imports","Vitest test framework configuration setup file","TEST-ONLY-RETAIN","frontend/src/test/setup.js, frontend/vitest.config.js:6","Referenced by vitest.config.js setupFiles."
"RET-019","frontend/src/utils/securityUtils.js","Investigated as uncalled in static imports","Cryptographic and sanitization utility helpers library","COMPATIBILITY-RETAIN","frontend/src/utils/securityUtils.js, docs/audit/PHASE_1_REPOSITORY_INVENTORY.csv:1791","Retained as foundational utility module."
"RET-020","frontend/src/components/ui/dialog.jsx","Investigated as uncalled in static imports","Design system UI primitive component","ACTIVE-SHARED","frontend/src/components/ui/dialog.jsx","Standard reusable design system element."
"RET-021","frontend/src/components/ui/label.jsx","Investigated as uncalled in static imports","Design system UI primitive component","ACTIVE-SHARED","frontend/src/components/ui/label.jsx","Standard reusable design system element."
"RET-022","frontend/src/components/ui/textarea.jsx","Investigated as uncalled in static imports","Design system UI primitive component","ACTIVE-SHARED","frontend/src/components/ui/textarea.jsx","Standard reusable design system element."
"RET-023","frontend/src/components/ui/tooltip.jsx","Investigated as uncalled in static imports","Design system UI primitive component","ACTIVE-SHARED","frontend/src/components/ui/tooltip.jsx","Standard reusable design system element."
"RET-024","docs/ & frontend/docs/ (Historical Reports)","Investigated for root clutter and historical audit documentation","Historical documentation, phase reports, and architectural records","HISTORICAL-RETAIN","docs/, frontend/docs/, docs/audit/PHASE_9_DOCUMENTATION_REPORTS_ROOT_CLUTTER_AUDIT.md","Implementation history preserved for auditability and institutional knowledge."
