EntryID,Path,EntryType,CommandScriptName,Language,FeaturePurpose,InvocationSyntax,InvokedBy,Invokes,RuntimeSetupTestRecoveryHistorical,ReadsConfig,ReadsEnvironmentVariables,TouchesDatabase,TouchesFilesystem,TouchesNetwork,UsesCredentialsSecrets,SafeReadOnly,DestructivePotential,LocalDefenseRelevance,CompatibilityRole,TestCoverage,InitialClassification,Confidence,EvidencePaths,Notes
"NHTTP-SPARK-001","backend/app/Commands/DemoReset.php","Spark Command","demo:reset","PHP","Resets and reseeds the Phase 12 defense demonstration personas and scenario fixtures","spark demo:reset","Operator / STARTUP_COMMANDS.md / test setups","LocalDefenseAuthSeeder, DefenseDemoPersonaSeeder, DefenseDemoScenarioSeeder","Setup / Demo Reset","YES","YES","RESET (Truncates and reseeds demo accounts)","NO","NO","YES (Reads ACHIEVENEST_DEMO_PASSWORD from .env)","NO","HIGH (Resets demo tables)","CORE DEFENSE UTILITY","CURRENT","spark test:phase12-demo","ACTIVE-DEMO","HIGH","backend/app/Commands/DemoReset.php, STARTUP_COMMANDS.md:53","Primary demo persona reset utility for offline presentation"
"NHTTP-SPARK-002","backend/app/Commands/VerifyDbConnection.php","Spark Command","db:verify-defense","PHP","Verifies CodeIgniter local defense MySQL connection and table accessibility","spark db:verify-defense","Preflight check / Operator","Database connection & table schema checks","Validation","YES","YES","READ-ONLY","NO","NO","NO","YES","NONE","CORE DEFENSE UTILITY","CURRENT","Phase 0 baseline","ACTIVE-VALIDATION","HIGH","backend/app/Commands/VerifyDbConnection.php","Validates MySQL connection and all 58 defense tables"
"NHTTP-SPARK-003","backend/app/Commands/TestHealthEndpoint.php","Spark Command","test:health","PHP","Executes the HealthController endpoint and verifies response","spark test:health","Operator / CI / Health monitor","App\Controllers\Api\HealthController","Validation","YES","YES","READ-ONLY","NO","NO","NO","YES","NONE","CORE DEFENSE UTILITY","CURRENT","Health check tests","ACTIVE-VALIDATION","HIGH","backend/app/Commands/TestHealthEndpoint.php","CLI health test wrapper"
"NHTTP-SPARK-004","backend/app/Commands/VerifyPhase7Auth.php","Spark Command","test:phase7-auth","PHP","Executes complete Phase 7 local authentication test matrix","spark test:phase7-auth","spark test:phase15-backend / Operator","LocalAuthService, LocalTokenService","Test","YES","YES","READ-ONLY","NO","NO","YES (Local test hashes)","YES","NONE","CORE REGRESSION SUITE","CURRENT","backend/tests/AuthenticationTest.php","ACTIVE-TEST","HIGH","backend/app/Commands/VerifyPhase7Auth.php","Validates credential hashing and token lifecycle"
"NHTTP-SPARK-005","backend/app/Commands/VerifyPhase8Authz.php","Spark Command","test:phase8-authz","PHP","Executes Phase 8 Authorization & RLS-Replacement Matrix Validation against achievenest_local","spark test:phase8-authz","spark test:phase15-backend / Operator","AuthorizationService, GovernancePolicy","Test","YES","YES","READ-ONLY","NO","NO","NO","YES","NONE","CORE REGRESSION SUITE","CURRENT","backend/tests/AuthorizationTest.php","ACTIVE-OFFLINE-DEFENSE","HIGH","backend/app/Commands/VerifyPhase8Authz.php","Proves 100% RBAC permission enforcement without Supabase RLS"
"NHTTP-SPARK-006","backend/app/Commands/VerifyPhase9Storage.php","Spark Command","test:phase9-storage","PHP","Runs comprehensive Phase 9 protected local evidence storage validation test suite","spark test:phase9-storage","spark test:phase15-backend / Operator","LocalEvidenceStorageService, EvidencePolicy","Test","YES","YES","READ-ONLY","READ-ONLY","NO","NO","YES","NONE","CORE REGRESSION SUITE","CURRENT","backend/tests/EvidenceTest.php","ACTIVE-TEST","HIGH","backend/app/Commands/VerifyPhase9Storage.php","Validates local evidence filesystem isolation"
"NHTTP-SPARK-007","backend/app/Commands/VerifyPhase11ReferenceData.php","Spark Command","test:phase11-reference","PHP","Runs Phase 11 permanent reference-data verification and fingerprint test suite","spark test:phase11-reference","spark test:phase15-backend / Operator","Reference data verification queries","Test","YES","YES","READ-ONLY","NO","NO","NO","YES","NONE","CORE REGRESSION SUITE","CURRENT","Reference data tests","ACTIVE-TEST","HIGH","backend/app/Commands/VerifyPhase11ReferenceData.php","Validates integrity of Colleges, Programs, Roles, Categories"
"NHTTP-SPARK-008","backend/app/Commands/VerifyPhase12Demo.php","Spark Command","test:phase12-demo","PHP","Runs Phase 12 defense demonstration personas and scenario fixture verification test suite","spark test:phase12-demo","spark test:phase15-backend / Operator","Demo persona queries","Test","YES","YES","READ-ONLY","NO","NO","NO","YES","NONE","CORE REGRESSION SUITE","CURRENT","Demo persona tests","ACTIVE-TEST","HIGH","backend/app/Commands/VerifyPhase12Demo.php","Verifies 10 pre-seeded accounts and scopes"
"NHTTP-SPARK-009","backend/app/Commands/VerifyPhase13Step4Local.php","Spark Command","test:phase13-step4","PHP","Runs Phase 13 Step 4 Portfolio / Achievement / Evidence / Verification E2E validation suite","spark test:phase13-step4","spark test:phase15-backend / Operator","StudentPortfolioController, StudentPortfolioPolicy","Test","YES","YES","READ-ONLY","NO","NO","NO","YES","NONE","CORE REGRESSION SUITE","CURRENT","Student portfolio tests","ACTIVE-TEST","HIGH","backend/app/Commands/VerifyPhase13Step4Local.php","Verifies portfolio submission, revision, and coordinator approval"
"NHTTP-SPARK-010","backend/app/Commands/VerifyPhase14Awards.php","Spark Command","test:phase14-awards","PHP","Runs Phase 14 Award Evaluation Engine and Dean Nomination verification suite","spark test:phase14-awards","spark test:phase15-backend / Operator","AwardEvaluationService, AwardPolicy","Test","YES","YES","READ-ONLY","NO","NO","NO","YES","NONE","CORE REGRESSION SUITE","CURRENT","Award evaluation tests","ACTIVE-TEST","HIGH","backend/app/Commands/VerifyPhase14Awards.php","Validates 80% award calculation benchmark and dean nominations"
