"FlowID","BusinessFlow","Actor","FrontendEntry","FrontendService","BackendRoute","Controller","ServiceOrPolicy","DatabaseTables","Output","AuditOrSecurity","Status","Notes"
"DF-001","Student Login","Student","NDMULoginModal.jsx","authService.login()","POST /api/v1/auth/login","AuthController","LocalAuthService","users, local_auth_sessions","Bearer Session Token + Student Profile","Session registered in DB, password bcrypt verified","ACTIVE","Logs session token"
"DF-002","Student Achievement Submission","Student","StudentAchievementsPage.jsx","StudentPortfolioController.create()","POST /api/v1/portfolio","StudentPortfolioController","StudentPortfolioPolicy","portfolio_records","Created Portfolio Draft Record","Validated against approved taxonomy","ACTIVE","Draft state created"
"DF-003","Student Evidence Upload","Student","StudentPortfolioPage.jsx","apiClient.postFormData()","POST /api/v1/portfolio/{id}/evidence","StudentPortfolioController","EvidenceStorageService, EvidencePolicy","evidence_files","Physical Evidence Attached (file_id)","Protected local storage, SHA256 recorded","ACTIVE","Evidence linked to portfolio item"
"DF-004","Student Portfolio Submission","Student","StudentPortfolioPage.jsx","StudentPortfolioController.submit()","POST /api/v1/portfolio/{id}/resubmit","StudentPortfolioController","StudentPortfolioPolicy","portfolio_records, verification_logs","Status updated to SUBMITTED","Enqueues in coordinator verification queue","ACTIVE","Verification log recorded"
"DF-005","Program Coordinator Verification","Program Coordinator","CoordinatorVerificationQueuePage.jsx","StudentPortfolioController.verify()","POST /api/v1/portfolio/{id}/verify","StudentPortfolioController","StudentPortfolioPolicy","portfolio_records, verification_logs","Status updated to VERIFIED","Program isolation verified, coordinator actor ID logged","ACTIVE","Verification audit log created"
"DF-006","Personnel Portfolio Editing","Faculty / Personnel","PersonnelPortfolioEditPage.jsx","usePersonnelPortfolio.saveDraft()","PUT /api/v1/portfolio/{id}","PersonnelAccomplishmentController","PersonnelPolicy","personnel_portfolios, accomplishments","Updated Portfolio Draft","Personnel ownership validated","ACTIVE","Accomplishment records linked"
"DF-007","Personnel Submit to Dean","Faculty / Personnel","PersonnelPortfolioEditPage.jsx","usePersonnelPortfolio.submitToDean()","POST /api/v1/portfolio/{id}/submit-to-dean","PersonnelAccomplishmentController","PersonnelPolicy","personnel_portfolios","Status updated to SUBMITTED_TO_DEAN","Modernized Submit to Dean pathway","ACTIVE","Batch 1 modernization"
"DF-008","Dean Evaluation Oversight","College Dean","PersonnelDashboardPage.jsx (Dean View)","PersonnelPortfolioController.getDeanQueue()","GET /api/v1/hr/evaluations","HREvaluationController","PersonnelPolicy","hr_evaluations, dean_assignments","Finalized Evaluation List for College","College-scoped read-only oversight; mutation blocked 403","ACTIVE","Dean check-and-balance"
"DF-009","HR Evaluation Scoring Studio","HR Administrator","PortfolioEvaluationStudio.jsx","HREvaluationController.rateItem()","POST /api/v1/hr/evaluations/{id}/items/{itemId}/rate","HREvaluationController","HREvaluationEngine, PersonnelPolicy","evaluation_items, hr_evaluations","Updated Evaluation Score & Snapshot","70/50/40 scoring bounds enforced; 120 qualification gate","ACTIVE","HR evaluation state machine"
"DF-010","Governance Role Assignment","HR Administrator","HRPersonnelDirectoryPage.jsx","TargetHRPersonnelController.assignDeanRole()","POST /api/v1/hr/personnel/{id}/dean-role","TargetHRPersonnelController","GovernancePolicy","dean_assignments, audit_logs","Dean Assignment Record","HR exclusive ownership; self-assignment blocked 403","ACTIVE","Governance audit log recorded"
"DF-011","Automated Award Scoring","OSAD Administrator","OSADAwardCandidateReviewPage.jsx","AwardEvaluationController.evaluate()","POST /api/v1/osad/awards/{id}/evaluate","AwardEvaluationController","AwardScoringEngine, AwardPolicy","award_evaluations, portfolio_records","Potential Candidates Classified","80.00% threshold enforced; idempotent scoring","ACTIVE","Only verified records contribute"
"DF-012","Dean Nomination Submission","College Dean","DeanNominationModal.jsx","AwardEvaluationController.nominate()","POST /api/v1/dean/nominations","AwardEvaluationController","AwardPolicy","dean_nominations","Dean Nomination Record Created","Cross-college allowed; tagged dean_nomination pathway","ACTIVE","Interview eligibility granted"
"DF-013","OSAD Candidate Review","OSAD Administrator","OSADAwardCandidateReviewPage.jsx","AwardEvaluationController.getCandidates()","GET /api/v1/osad/awards/{id}/candidates","AwardEvaluationController","AwardPolicy","award_evaluations, dean_nominations","Unified Candidate List & Scoring Basis","Strict Potential Award Candidates terminology","ACTIVE","Supports ?tab=awardees query"
"DF-014","Protected Evidence Streaming","Student / Personnel / HR","EvidenceDocumentViewer.jsx","apiClient.getBlob()","GET /api/v1/evidence/{type}/{id}","EvidenceController","EvidenceStorageService, EvidencePolicy","evidence_files","Binary File Stream (PDF/Image)","Role-scoped 403 enforcement; zero direct public URLs","ACTIVE","Protected local filesystem streaming"
"DF-015","Password Reset Workflow","Student / Personnel","ResetPasswordPage.jsx","authService.requestPasswordReset()","POST /api/v1/auth/password-reset-request","AuthController","LocalAuthService","password_resets, audit_logs","Password Reset Ticket Logged","Student requests routed to OSAD; Personnel to HR","ACTIVE","Password reset queue"
