CandidateID,CurrentPath,TargetPath,CandidateType,Reason,CallerCount,ImportImpact,RouteImpact,TestImpact,DocumentationImpact,RemovalDependency,NamingDependency,Phase14Action,Risk,Notes
"MOV-001","AchieveNest-Test_Pre_Phase7_2026-08-28_0036.dump","archive/database/AchieveNest-Test_Pre_Phase7_2026-08-28_0036.dump","BACKUP_RELOCATION","Relocate binary database snapshot from root to archive/database/ with REPOSITORY-LOCAL-UNTRACKED-ARCHIVE policy (untracked / ignored in git)",0,"NONE","NONE","NONE","Update recovery notes if referenced","None","None","ARCHIVE","LOW","Historical database snapshot; untrack from git and relocate to ignored archive/database/"
"MOV-002","AchieveNest_Phase_2_Pre_Execution_Migration_Code_Review.md","docs/history/AchieveNest_Phase_2_Pre_Execution_Migration_Code_Review.md","HISTORICAL_REPORT_MOVE","Relocate root milestone review report to docs/history/",0,"NONE","NONE","NONE","Update markdown links if referenced","None","None","MOVE","LOW","Historical migration code review document (Phase 2)"
"MOV-003","AchieveNest_Phase_4_Fresh_Disposable_Database_Build_Report.md","docs/reports/AchieveNest_Phase_4_Fresh_Disposable_Database_Build_Report.md","HISTORICAL_REPORT_MOVE","Relocate root milestone build report to docs/reports/",0,"NONE","NONE","NONE","Update markdown links if referenced","None","None","MOVE","LOW","Historical fresh build report (Phase 4)"
"MOV-004","AchieveNest_Phase_5_Reset_and_Replay_Validation_Report.md","docs/reports/AchieveNest_Phase_5_Reset_and_Replay_Validation_Report.md","HISTORICAL_REPORT_MOVE","Relocate root milestone validation report to docs/reports/",0,"NONE","NONE","NONE","Update markdown links if referenced","None","None","MOVE","LOW","Historical reset and replay report (Phase 5)"
"MOV-005","AchieveNest_Phase_6_Fresh_Build_vs_Current_Test_Reconciliation_Report.md","docs/reports/AchieveNest_Phase_6_Fresh_Build_vs_Current_Test_Reconciliation_Report.md","HISTORICAL_REPORT_MOVE","Relocate root milestone reconciliation report to docs/reports/",0,"NONE","NONE","NONE","Update markdown links if referenced","None","None","MOVE","LOW","Historical fresh build reconciliation report (Phase 6)"
"MOV-006","AchieveNest_Phase_7_Test_Reconciliation_Report.md","docs/reports/AchieveNest_Phase_7_Test_Reconciliation_Report.md","HISTORICAL_REPORT_MOVE","Relocate root milestone test report to docs/reports/",0,"NONE","NONE","NONE","Update markdown links if referenced","None","None","MOVE","LOW","Historical test reconciliation report (Phase 7)"
"MOV-007","AchieveNest_Phase_8_Application_Security_and_Role_Based_E2E_Validation_Report.md","docs/reports/AchieveNest_Phase_8_Application_Security_and_Role_Based_E2E_Validation_Report.md","HISTORICAL_REPORT_MOVE","Relocate root milestone security report to docs/reports/",0,"NONE","NONE","NONE","Update markdown links if referenced","None","None","MOVE","LOW","Historical security and E2E validation report (Phase 8 Part 1)"
"MOV-008","AchieveNest_Phase_8_E2E_Test_Matrix.md","docs/reports/AchieveNest_Phase_8_E2E_Test_Matrix.md","HISTORICAL_REPORT_MOVE","Relocate root milestone matrix report to docs/reports/",0,"NONE","NONE","NONE","Update markdown links if referenced","None","None","MOVE","LOW","Historical E2E test matrix document (Phase 8 Part 2)"
"MOV-009","STARTUP_COMMANDS.md","docs/runbooks/STARTUP_COMMANDS.md","RUNBOOK_MOVE","Relocate untracked root operational runbook to standardized docs/runbooks/",0,"NONE","NONE","NONE","Update onboarding and README documentation pointers","None","None","MOVE","LOW","Primary system startup and operational runbook"
"MOV-010","USER_WORKFLOW_AND_IMPROVEMENTS.md","docs/architecture/USER_WORKFLOW_AND_IMPROVEMENTS.md","ROOT_CLUTTER_MOVE","Relocate root architectural specification to docs/architecture/",0,"NONE","NONE","NONE","Update root README references","None","None","MOVE","LOW","Comprehensive product workflow and roadmap spec"
"MOV-011","backend/development/node_modules/","untracked / ignored","GENERATED_UNTRACK","Untrack 1,108 tracked generated dependencies from git repository",0,"NONE","NONE","NONE","NONE","None","None","UNTRACK","LOW","Tracked generated development dependencies (20.47 MB)"
"MOV-012","node_modules/.vite/deps/","untracked / ignored","GENERATED_UNTRACK","Untrack 15 tracked generated cache files from git repository",0,"NONE","NONE","NONE","NONE","None","None","UNTRACK","LOW","Tracked generated Vite cache (6.82 MB)"
"MOV-013","frontend/src/pages/personnel/department-secretary/","N/A (Retire directory)","FOLDER_RETIREMENT","Empty directory representing obsolete department secretary role terminology",0,"NONE","NONE","NONE","NONE","None","YES (depsec / department-secretary terminology)","REVIEW FIRST","LOW","Empty directory scheduled for Phase 13A review and Phase 14 retirement"
"MOV-014","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/","N/A (Retire directory tree)","FOLDER_RETIREMENT","Superseded evaluation view subfolder tree (portfolio, rating, scoring)",0,"NONE","NONE","NONE","NONE","Phase 12 DCE-FE-001 to DCE-FE-008","YES (NDMURatingPane terminology)","REMOVE","LOW","Subfolder tree naturally disappears after Phase 14 removals"
"MOV-015","frontend/src/pages/personnel/program-coordinator/tabs/","N/A (Retire directory)","FOLDER_RETIREMENT","Superseded queue tab subfolder",0,"NONE","NONE","NONE","NONE","Phase 12 DCE-FE-017","None","REMOVE","LOW","Subfolder naturally disappears after Phase 14 removal"
