CandidateID,CurrentPath,CurrentFilename,CurrentExportClassSymbol,ArtifactType,FeatureDomain,ActualResponsibility,CurrentCallersImports,RouteReferences,APIReferences,TestReferences,ScriptReferences,CurrentTerminology,TerminologyIssue,ProposedName,ProposedPath,NamingRule,FrameworkConstraint,CaseSensitivityRisk,CompatibilityRisk,RemovalDependency,Phase14Action,Phase15Validation,Confidence,EvidencePaths,Notes
"REN-001","frontend/src/pages/personnel/department-secretary/","department-secretary","N/A (Directory)","DIRECTORY_LEGACY","Personnel Governance","Obsolete Department Secretary role folder","None (0 callers)","None","None","None","None","department-secretary","Role no longer exists; folder is empty on disk","N/A (Retire folder)","N/A","Folder Retirement Rule","None","LOW","LOW","None","RETIRE-FOLDER","Verify directory removal","HIGH","frontend/src/pages/personnel/department-secretary/, docs/audit/PHASE_1_REPOSITORY_INVENTORY.md","Empty directory; retire in Phase 14 without renaming to dean"
"REN-002","frontend/src/controllers/PersonnelPortfolioController.js","PersonnelPortfolioController.js","submitToDepSec","CONTROLLER_METHOD","Personnel Portfolio","Submits faculty portfolio for Dean endorsement","usePersonnelPortfolio.js:64","None","None","scratch/test_phase2_controller.js","None","submitToDepSec","Uses obsolete 'DepSec' terminology; canonical method submitToDean already implemented","submitToDean","frontend/src/controllers/PersonnelPortfolioController.js","Method Naming Convention","None","LOW","LOW","None","RENAME","Vitest suite execution","HIGH","frontend/src/controllers/PersonnelPortfolioController.js:237, frontend/src/hooks/usePersonnelPortfolio.js:62","Modernize method call to canonical submitToDean"
"REN-003","frontend/src/hooks/usePersonnelPortfolio.js","usePersonnelPortfolio.js","submitToDepSec","HOOK_METHOD","Personnel Portfolio","Hook method for portfolio endorsement submission","PersonnelPortfolioEditPage.jsx:56","None","None","None","None","submitToDepSec","Uses obsolete 'DepSec' terminology","submitToDean","frontend/src/hooks/usePersonnelPortfolio.js","Hook Naming Convention","None","LOW","LOW","None","RENAME","Vitest suite execution","HIGH","frontend/src/hooks/usePersonnelPortfolio.js:62, frontend/src/pages/personnel/PersonnelPortfolioEditPage.jsx:56","Update hook method return name to submitToDean"
"REN-004","frontend/src/pages/personnel/PortfolioSummaryCard.jsx","PortfolioSummaryCard.jsx","onSubmitToDepSec","REACT_PROP","Personnel Portfolio","Callback prop for portfolio submission button","PersonnelPortfolioPage.jsx","None","None","None","None","onSubmitToDepSec","Uses obsolete 'DepSec' terminology","onSubmitToDean","frontend/src/pages/personnel/PortfolioSummaryCard.jsx","Prop Naming Convention","None","LOW","LOW","None","RENAME","Personnel portfolio page smoke test","HIGH","frontend/src/pages/personnel/PortfolioSummaryCard.jsx:5, frontend/src/pages/personnel/PortfolioSummaryCard.jsx:71","Prop name modernized to onSubmitToDean"
"REN-005","frontend/src/App.jsx","App.jsx","<Route path='/depsec' ... />","ROUTE_DEFINITION","Routing / Navigation","Legacy redirect route to /personnel/dashboard","None (Router entry)","/depsec","None","None","None","/depsec","Obsolete role URL path","Keep redirect for deep-link compatibility","frontend/src/App.jsx","Route Compatibility Rule","React Router v6","LOW","MEDIUM (External bookmarks)","None","KEEP-COMPATIBILITY","Route smoke test (/depsec -> /personnel/dashboard)","HIGH","frontend/src/App.jsx:195, docs/audit/PHASE_2_FRONTEND_ROUTE_MAP.csv","Transitional compatibility route redirecting to /personnel/dashboard"
"REN-006","frontend/src/utils/roleContext.js","roleContext.js","case 'department_secretary'","UTIL_FUNCTION","Auth / Role Resolution","Normalizes legacy role identifier to CANONICAL_ROLES.DEAN","None (Internal helper)","None","None","frontend/src/utils/__tests__/roleContext.test.js:34","None","department_secretary","Obsolete role identifier in switch statement","Preserve mapping to CANONICAL_ROLES.DEAN","frontend/src/utils/roleContext.js","Role Compatibility Rule","None","LOW","LOW","None","KEEP-COMPATIBILITY","roleContext unit test passing","HIGH","frontend/src/utils/roleContext.js:76-81, frontend/src/utils/__tests__/roleContext.test.js:34","Transitional normalization preventing stale session lockouts"
"REN-007","frontend/src/services/authService.js","authService.js","department_id: user.department_id || null","AUTH_SERVICE_FIELD","Auth & Session","Legacy department ID field mapping in session user payload","None (Session payload)","None","None","None","None","department_id","Legacy department key in user object","department_id (Preserve null fallback)","frontend/src/services/authService.js","Compatibility Rule","None","LOW","LOW","None","KEEP-COMPATIBILITY","authService test suite","HIGH","frontend/src/services/authService.js:156","Preserved for backwards compatibility with legacy user payloads"
"REN-008","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/rating/NDMURatingPane.jsx","NDMURatingPane.jsx","NDMURatingPane","REACT_COMPONENT","HR Evaluation Studio","Superseded scoring pane","None (0 callers)","None","None","None","None","NDMURatingPane","Superseded scoring component using historical NDMU prefix","N/A — remove in Phase 14","N/A","Dead Code Removal Rule","None","LOW","LOW","Phase 12 DCE-FE-002","REMOVE-INSTEAD-OF-RENAME","Studio evaluation smoke test","HIGH","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/rating/NDMURatingPane.jsx, docs/audit/PHASE_12_DEAD_CODE_CANDIDATES.csv","Dead code candidate scheduled for removal in Phase 14; do not rename"
"REN-009","frontend/src/pages/student/modals/DigitalBarcodeIDCardModal.jsx","DigitalBarcodeIDCardModal.jsx","DigitalBarcodeIDCardModal","REACT_MODAL","Student / Personnel Shared","Institutional Barcode ID Modal","StudentDashboardPage, PersonnelDashboardPage","None","None","None","None","DigitalBarcodeIDCardModal","Product decision to remove digital barcode ID card feature from system scope","N/A — remove in Phase 14","N/A","Scope Removal Rule","None","LOW","LOW","Phase 12 Scope Removal","INTENTIONAL-SCOPE-REMOVAL","Dashboard smoke tests","HIGH","frontend/src/pages/student/modals/DigitalBarcodeIDCardModal.jsx, docs/audit/PHASE_12_INTENTIONAL_SCOPE_REMOVALS.csv","Feature removed from product scope; Phase 14 deletes component"
"REN-010","backend/app/Services/SupabaseAuthService.php","SupabaseAuthService.php","SupabaseAuthService","BACKEND_SERVICE","Authentication Stubs","Offline fallback stub and zero-call test assertion target","None (Zero-call test target)","None","None","tests/Unit/Services/SupabaseAuthServiceTest.php","backend/app/Commands/ReconcileSupabaseAuth.php","SupabaseAuthService","Accurately describes legacy Supabase stub service","SupabaseAuthService (Preserve name)","backend/app/Services/SupabaseAuthService.php","Legacy Service Naming Rule","CodeIgniter 4 Service Layer","LOW","MEDIUM","None","KEEP-COMPATIBILITY","PHPUnit test suite","HIGH","backend/app/Services/SupabaseAuthService.php, docs/audit/PHASE_10_LEGACY_TECHNOLOGY_REGISTER.csv","Preserve name as accurate description of legacy fallback stub"
