Path,Name,Extension,TrackedState,ItemType,LayerZone,FeatureDomain,ApparentResponsibility,FrameworkToolOwnership,RuntimeRelevance,TestRelevance,ScriptOperationalRelevance,DocumentationHistoryRelevance,InitialClassification,Confidence,NeedsDeeperTrace,Notes
".agents/skills/supabase-postgres-best-practices/CHANGELOG.md","CHANGELOG.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase-postgres-best-practices)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".agents/skills/supabase-postgres-best-practices/SKILL.md","SKILL.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase-postgres-best-practices)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".agents/skills/supabase-postgres-best-practices/references/_contributing.md","_contributing.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase-postgres-best-practices)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".agents/skills/supabase-postgres-best-practices/references/_sections.md","_sections.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase-postgres-best-practices)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".agents/skills/supabase-postgres-best-practices/references/_template.md","_template.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase-postgres-best-practices)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".agents/skills/supabase-postgres-best-practices/references/advanced-full-text-search.md","advanced-full-text-search.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase-postgres-best-practices)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".agents/skills/supabase-postgres-best-practices/references/advanced-jsonb-indexing.md","advanced-jsonb-indexing.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase-postgres-best-practices)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".agents/skills/supabase-postgres-best-practices/references/conn-idle-timeout.md","conn-idle-timeout.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase-postgres-best-practices)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".agents/skills/supabase-postgres-best-practices/references/conn-limits.md","conn-limits.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase-postgres-best-practices)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".agents/skills/supabase-postgres-best-practices/references/conn-pooling.md","conn-pooling.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase-postgres-best-practices)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
