ArtifactID,CurrentPath,ArtifactType,FeatureDomain,CurrentRole,CurrentCallers,CurrentClassification,CurrentFolderRationale,Problem,TargetLocation,TargetOrganizationClassification,MovePreconditions,RemovalDependency,ImportUpdateRequired,RouteUpdateRequired,TestUpdateRequired,DocumentationUpdateRequired,Phase13ANamingDependency,Phase14Action,Phase15Validation,Confidence,EvidencePaths,Notes
"ORG-ROOT-001","AchieveNest-Test_Pre_Phase7_2026-08-28_0036.dump","DATABASE_DUMP","Infrastructure / Database","Pre-Phase 7 Database Backup","None","DATABASE-DUMP","Root working directory","Root-level database binary dump clutters source repository","archive/database/AchieveNest-Test_Pre_Phase7_2026-08-28_0036.dump (UNTRACKED / IGNORED)","BACKUP-RELOCATION-CANDIDATE","Verify archive directory exists and ignore rule established","None","NONE","NONE","NONE","Update recovery notes if referenced","None","ARCHIVE","Verify git ls-files confirms untracked and archive file intact","HIGH","AchieveNest-Test_Pre_Phase7_2026-08-28_0036.dump, docs/audit/PHASE_9_CLEANUP_REVIEW_CANDIDATES.csv","Historical pre-Phase 7 database snapshot; policy is REPOSITORY-LOCAL-UNTRACKED-ARCHIVE"
"ORG-ROOT-002","AchieveNest_Phase_2_Pre_Execution_Migration_Code_Review.md","HISTORICAL_REPORT","Documentation / Architecture","Phase 2 Migration Code Review","None","HISTORICAL-REPORT","Root working directory","Root-level historical audit review document clutters repository","docs/history/AchieveNest_Phase_2_Pre_Execution_Migration_Code_Review.md","HISTORICAL-ARCHIVE-CANDIDATE","Verify docs/history directory exists","None","NONE","NONE","NONE","Update doc links if referenced","None","MOVE","Verify markdown link integrity","HIGH","AchieveNest_Phase_2_Pre_Execution_Migration_Code_Review.md, docs/audit/PHASE_9_DOCUMENTATION_ARTIFACT_REGISTER.csv","Phase 2 migration code review milestone artifact"
"ORG-ROOT-003","AchieveNest_Phase_4_Fresh_Disposable_Database_Build_Report.md","HISTORICAL_REPORT","Documentation / Database","Phase 4 Disposable DB Build Report","None","HISTORICAL-REPORT","Root working directory","Root-level milestone report clutters repository","docs/reports/AchieveNest_Phase_4_Fresh_Disposable_Database_Build_Report.md","HISTORICAL-ARCHIVE-CANDIDATE","Verify docs/reports directory exists","None","NONE","NONE","NONE","Update doc links if referenced","None","MOVE","Verify markdown link integrity","HIGH","AchieveNest_Phase_4_Fresh_Disposable_Database_Build_Report.md, docs/audit/PHASE_9_DOCUMENTATION_ARTIFACT_REGISTER.csv","Phase 4 fresh build verification report"
"ORG-ROOT-004","AchieveNest_Phase_5_Reset_and_Replay_Validation_Report.md","HISTORICAL_REPORT","Documentation / Database","Phase 5 Reset & Replay Report","None","HISTORICAL-REPORT","Root working directory","Root-level milestone report clutters repository","docs/reports/AchieveNest_Phase_5_Reset_and_Replay_Validation_Report.md","HISTORICAL-ARCHIVE-CANDIDATE","Verify docs/reports directory exists","None","NONE","NONE","NONE","Update doc links if referenced","None","MOVE","Verify markdown link integrity","HIGH","AchieveNest_Phase_5_Reset_and_Replay_Validation_Report.md, docs/audit/PHASE_9_DOCUMENTATION_ARTIFACT_REGISTER.csv","Phase 5 reset and replay validation report"
"ORG-ROOT-005","AchieveNest_Phase_6_Fresh_Build_vs_Current_Test_Reconciliation_Report.md","HISTORICAL_REPORT","Documentation / Database","Phase 6 Reconciliation Report","None","HISTORICAL-REPORT","Root working directory","Root-level milestone report clutters repository","docs/reports/AchieveNest_Phase_6_Fresh_Build_vs_Current_Test_Reconciliation_Report.md","HISTORICAL-ARCHIVE-CANDIDATE","Verify docs/reports directory exists","None","NONE","NONE","NONE","Update doc links if referenced","None","MOVE","Verify markdown link integrity","HIGH","AchieveNest_Phase_6_Fresh_Build_vs_Current_Test_Reconciliation_Report.md, docs/audit/PHASE_9_DOCUMENTATION_ARTIFACT_REGISTER.csv","Phase 6 fresh build reconciliation report"
"ORG-ROOT-006","AchieveNest_Phase_7_Test_Reconciliation_Report.md","HISTORICAL_REPORT","Documentation / Testing","Phase 7 Test Reconciliation Report","None","HISTORICAL-REPORT","Root working directory","Root-level milestone report clutters repository","docs/reports/AchieveNest_Phase_7_Test_Reconciliation_Report.md","HISTORICAL-ARCHIVE-CANDIDATE","Verify docs/reports directory exists","None","NONE","NONE","NONE","Update doc links if referenced","None","MOVE","Verify markdown link integrity","HIGH","AchieveNest_Phase_7_Test_Reconciliation_Report.md, docs/audit/PHASE_9_DOCUMENTATION_ARTIFACT_REGISTER.csv","Phase 7 test reconciliation report"
"ORG-ROOT-007","AchieveNest_Phase_8_Application_Security_and_Role_Based_E2E_Validation_Report.md","HISTORICAL_REPORT","Documentation / Security","Phase 8 Security & E2E Report","None","HISTORICAL-REPORT","Root working directory","Root-level milestone report clutters repository","docs/reports/AchieveNest_Phase_8_Application_Security_and_Role_Based_E2E_Validation_Report.md","HISTORICAL-ARCHIVE-CANDIDATE","Verify docs/reports directory exists","None","NONE","NONE","NONE","Update doc links if referenced","None","MOVE","Verify markdown link integrity","HIGH","AchieveNest_Phase_8_Application_Security_and_Role_Based_E2E_Validation_Report.md, docs/audit/PHASE_9_DOCUMENTATION_ARTIFACT_REGISTER.csv","Phase 8 security and E2E validation report (Part 1)"
"ORG-ROOT-008","AchieveNest_Phase_8_E2E_Test_Matrix.md","HISTORICAL_REPORT","Documentation / Testing","Phase 8 E2E Test Matrix","None","HISTORICAL-REPORT","Root working directory","Root-level milestone report clutters repository","docs/reports/AchieveNest_Phase_8_E2E_Test_Matrix.md","HISTORICAL-ARCHIVE-CANDIDATE","Verify docs/reports directory exists","None","NONE","NONE","NONE","Update doc links if referenced","None","MOVE","Verify markdown link integrity","HIGH","AchieveNest_Phase_8_E2E_Test_Matrix.md, docs/audit/PHASE_9_DOCUMENTATION_ARTIFACT_REGISTER.csv","Phase 8 E2E test matrix report (Part 2)"
"ORG-ROOT-009","STARTUP_COMMANDS.md","DOCUMENTATION_RUNBOOK","Operations / Runbooks","Local Startup & Health Check Runbook","Developers / Operators","OPERATIONAL-RUNBOOK","Root working directory","Active runbook currently untracked in root","docs/runbooks/STARTUP_COMMANDS.md","RUNBOOK-RELOCATION-CANDIDATE","Create docs/runbooks directory","None","NONE","NONE","NONE","Update README / onboarding runbook pointers","None","MOVE","Verify runbook instructions in Phase 15","HIGH","STARTUP_COMMANDS.md, docs/audit/PHASE_9_DOCUMENTATION_ARTIFACT_REGISTER.csv","Authoritative operational runbook; standardize under docs/runbooks/"
"ORG-ROOT-010","USER_WORKFLOW_AND_IMPROVEMENTS.md","ARCHITECTURE_SPEC","Architecture / Product","User Workflows & Roadmap Spec","Product / Architecture","ARCHITECTURE-SPEC","Root working directory","Spec in root; acceptable in root or docs/architecture/","docs/architecture/USER_WORKFLOW_AND_IMPROVEMENTS.md","MOVE-CANDIDATE","Create docs/architecture directory","None","NONE","NONE","NONE","Update root README references","None","MOVE","Verify doc links","MEDIUM","USER_WORKFLOW_AND_IMPROVEMENTS.md, docs/audit/PHASE_9_DOCUMENTATION_ARTIFACT_REGISTER.csv","Product workflow specification; centralize under docs/architecture/"
"ORG-DEP-001","backend/development/node_modules/","TRACKED_DEPENDENCY","Generated Cache / Dependencies","Development Node Dependencies","Development scripts","GENERATED-DEPENDENCY","backend/development/","1,108 tracked generated node_modules files (20.47 MB) bloat repository","untracked / ignored","GENERATED-UNTRACK-CANDIDATE","Ensure backend/.gitignore includes development/node_modules","None","NONE","NONE","NONE","NONE","None","UNTRACK","git rm -r --cached verification","HIGH","backend/development/node_modules/, docs/audit/PHASE_9_GENERATED_DEPENDENCY_RECONCILIATION_ADDENDUM.md","Generated dependency tree accidentally tracked; untrack in Phase 14"
"ORG-DEP-002","node_modules/.vite/deps/","TRACKED_CACHE","Generated Cache / Dependencies","Vite Pre-bundled Dependencies","Vite Dev Server","GENERATED-CACHE","node_modules/.vite/deps/","15 tracked pre-bundled cache files (6.82 MB) bloat repository","untracked / ignored","GENERATED-UNTRACK-CANDIDATE","Ensure root .gitignore includes node_modules/.vite","None","NONE","NONE","NONE","NONE","None","UNTRACK","git rm -r --cached verification","HIGH","node_modules/.vite/deps/, docs/audit/PHASE_9_GENERATED_DEPENDENCY_RECONCILIATION_ADDENDUM.md","Generated Vite cache files accidentally tracked; untrack in Phase 14"
"ORG-FE-001","frontend/src/pages/student/modals/DigitalBarcodeIDCardModal.jsx","REACT_MODAL","Student / Personnel Shared","Institutional Barcode ID Modal","StudentDashboardPage, PersonnelDashboardPage","INTENTIONAL-SCOPE-REMOVAL","frontend/src/pages/student/modals/","Product decision to remove digital barcode ID card feature from system scope","N/A — remove in Phase 14","INTENTIONAL-REMOVAL-NO-MOVE","Remove imports and triggers from StudentDashboardPage and PersonnelDashboardPage","Phase 12 Scope Removal","Remove 2 dashboard imports","NONE","Update dashboard unit tests","Update user guide docs","None","INTENTIONAL-FEATURE-REMOVAL","Vitest suite + Dashboard smoke test","HIGH","frontend/src/pages/student/modals/DigitalBarcodeIDCardModal.jsx, docs/audit/PHASE_12_INTENTIONAL_SCOPE_REMOVALS.csv","Product scope removal confirmed; Phase 11 common relocation proposal closed"
"ORG-FE-002","frontend/src/pages/personnel/department-secretary/","DIRECTORY_LEGACY","Personnel / Department Secretary","Obsolete Department Secretary Role Folder","None","LEGACY-EMPTY-DIR","frontend/src/pages/personnel/","Empty directory reflecting obsolete department secretary role terminology","N/A — retire in Phase 14","NAMING-REVIEW-PHASE13A","Phase 13A terminology audit","None","NONE","NONE","NONE","NONE","YES (depsec / department-secretary terminology)","REVIEW FIRST","Verify directory clean removal","HIGH","frontend/src/pages/personnel/department-secretary/, docs/audit/PHASE_1_REPOSITORY_INVENTORY.md","Empty directory; terminology audit in Phase 13A, retirement in Phase 14"
"ORG-FE-003","frontend/src/components/common/ProtectedRoute.jsx","REACT_COMPONENT","Routing / Security","Superseded Route Protection Wrapper","None (0 callers)","SUPERSEDED-COMPONENT","frontend/src/components/common/","Superseded by RouteAccessController and App.jsx layout wrapper","N/A — remove in Phase 14","REMOVE-FIRST-THEN-REEVALUATE","Confirm RouteAccessController active coverage","Phase 12 DCE-FE-020","NONE","NONE","NONE","NONE","None","REMOVE","Frontend build + Route smoke test","HIGH","frontend/src/components/common/ProtectedRoute.jsx, docs/audit/PHASE_12_DEAD_CODE_CANDIDATES.csv","Dead code component scheduled for deletion in Phase 14; do not move"
"ORG-FE-004","frontend/src/models/AcademicStructureModel.js","FRONTEND_MODEL","Academic Domain / Metadata","Superseded Static Structure Model","None (0 callers)","SUPERSEDED-MODEL","frontend/src/models/","Superseded by CollegeModel.js and DegreeProgramModel.js","N/A — remove in Phase 14","REMOVE-FIRST-THEN-REEVALUATE","Confirm CollegeModel and DegreeProgramModel active coverage","Phase 12 DCE-FE-019","NONE","NONE","NONE","NONE","None","REMOVE","Vitest suite execution","HIGH","frontend/src/models/AcademicStructureModel.js, docs/audit/PHASE_12_DEAD_CODE_CANDIDATES.csv","Dead code model scheduled for deletion in Phase 14; do not move"
"ORG-FE-005","frontend/src/components/osad/OSADQuickActions.jsx","REACT_COMPONENT","OSAD Domain / Actions","Superseded Quick Actions Component","None (0 callers)","SUPERSEDED-COMPONENT","frontend/src/components/osad/","Superseded by OSADCommandHub.jsx","N/A — remove in Phase 14","REMOVE-FIRST-THEN-REEVALUATE","Confirm OSADCommandHub active coverage","Phase 12 DCE-FE-021","NONE","NONE","NONE","NONE","None","REMOVE","Frontend build + OSAD dashboard smoke","HIGH","frontend/src/components/osad/OSADQuickActions.jsx, docs/audit/PHASE_12_DEAD_CODE_CANDIDATES.csv","Dead code component scheduled for deletion in Phase 14; do not move"
"ORG-FE-006","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/","DIRECTORY_SUPERSEDED","HR Evaluation / Studio","Superseded Evaluation View Tree","None (0 callers)","SUPERSEDED-DIR-TREE","frontend/src/pages/hr-admin/evaluation-submissions/","Contains 8 superseded portfolio/rating/scoring components (DCE-FE-001 to DCE-FE-008)","N/A — disappears after Phase 14 removals","REMOVE-FIRST-THEN-REEVALUATE","Delete 8 dead child components in Phase 14","Phase 12 DCE-FE-001 to DCE-FE-008","NONE","NONE","NONE","NONE","YES (NDMURatingPane naming in Phase 13A)","REMOVE","Studio evaluation smoke test","HIGH","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/, docs/audit/PHASE_12_DEAD_CODE_CANDIDATES.csv","Directory tree naturally disappears after Phase 14 removes superseded studio predecessors"
"ORG-FE-007","frontend/src/pages/personnel/program-coordinator/tabs/CoordinatorQueueTab.jsx","REACT_COMPONENT","Personnel / Coordinator","Superseded Queue Tab Subcomponent","None (0 callers)","SUPERSEDED-COMPONENT","frontend/src/pages/personnel/program-coordinator/tabs/","Inlined directly into CoordinatorDashboardView.jsx","N/A — remove in Phase 14","REMOVE-FIRST-THEN-REEVALUATE","Confirm inlined CoordinatorDashboardView coverage","Phase 12 DCE-FE-017","NONE","NONE","NONE","NONE","None","REMOVE","Coordinator dashboard smoke test","HIGH","frontend/src/pages/personnel/program-coordinator/tabs/CoordinatorQueueTab.jsx, docs/audit/PHASE_12_DEAD_CODE_CANDIDATES.csv","Subfolder 'tabs/' naturally disappears after Phase 14 removal"
"ORG-FE-008","frontend/src/pages/personnel/PersonnelPortfolioForm.jsx","REACT_PAGE_COMPONENT","Personnel / Portfolio","Superseded Portfolio Multi-Tab Form","None (0 callers)","SUPERSEDED-COMPONENT","frontend/src/pages/personnel/","Superseded by dedicated route PersonnelPortfolioEditPage.jsx","N/A — remove in Phase 14","REMOVE-FIRST-THEN-REEVALUATE","Confirm PersonnelPortfolioEditPage coverage","Phase 12 DCE-FE-015","NONE","NONE","NONE","NONE","None","REMOVE","Portfolio edit page smoke test","HIGH","frontend/src/pages/personnel/PersonnelPortfolioForm.jsx, docs/audit/PHASE_12_DEAD_CODE_CANDIDATES.csv","Superseded form component scheduled for deletion in Phase 14"
"ORG-FE-009","frontend/src/pages/personnel/program-coordinator/ProgramCoordinatorDashboard.jsx","REACT_PAGE_COMPONENT","Personnel / Coordinator","Superseded Coordinator Wrapper","None (0 callers)","SUPERSEDED-COMPONENT","frontend/src/pages/personnel/program-coordinator/","Superseded by CoordinatorDashboardPage.jsx","N/A — remove in Phase 14","REMOVE-FIRST-THEN-REEVALUATE","Confirm CoordinatorDashboardPage coverage","Phase 12 DCE-FE-016","NONE","NONE","NONE","NONE","None","REMOVE","Coordinator dashboard smoke test","HIGH","frontend/src/pages/personnel/program-coordinator/ProgramCoordinatorDashboard.jsx, docs/audit/PHASE_12_DEAD_CODE_CANDIDATES.csv","Superseded dashboard wrapper scheduled for deletion in Phase 14"
"ORG-FE-010","frontend/src/pages/personnel/organization-moderator/OrganizationModeratorDashboard.jsx","REACT_PAGE_COMPONENT","Personnel / Moderator","Superseded Moderator Wrapper","None (0 callers)","SUPERSEDED-COMPONENT","frontend/src/pages/personnel/organization-moderator/","Superseded by OrganizationModeratorDashboardPage.jsx","N/A — remove in Phase 14","REMOVE-FIRST-THEN-REEVALUATE","Confirm OrganizationModeratorDashboardPage coverage","Phase 12 DCE-FE-018","NONE","NONE","NONE","NONE","None","REMOVE","Moderator dashboard smoke test","HIGH","frontend/src/pages/personnel/organization-moderator/OrganizationModeratorDashboard.jsx, docs/audit/PHASE_12_DEAD_CODE_CANDIDATES.csv","Superseded dashboard wrapper scheduled for deletion in Phase 14"
"ORG-FE-011","frontend/src/pages/hr-admin/personnel-directory/CustomDatePicker.jsx","REACT_COMPONENT","HR Admin / Directory","Superseded DatePicker Widget","None (0 callers)","SUPERSEDED-COMPONENT","frontend/src/pages/hr-admin/personnel-directory/","Superseded by standard HTML5 date inputs in OnboardPersonnelModal.jsx","N/A — remove in Phase 14","REMOVE-FIRST-THEN-REEVALUATE","Confirm OnboardPersonnelModal date inputs","Phase 12 DCE-FE-011","NONE","NONE","NONE","NONE","None","REMOVE","Onboard personnel modal smoke test","HIGH","frontend/src/pages/hr-admin/personnel-directory/CustomDatePicker.jsx, docs/audit/PHASE_12_DEAD_CODE_CANDIDATES.csv","Superseded date picker widget scheduled for deletion in Phase 14"
