"route","http_method","controller_action","controller_file","service_files","tables","access","auth_scope"
"/","GET","Home::index","backend/app/Controllers/Home.php","","","READ","Controller/filter enforced; inspect mapped action"
"/api/v1/health","GET","Api\HealthController::index","backend/app/Controllers/Api/HealthController.php","","","READ","Controller/filter enforced; inspect mapped action"
"/api/v1/auth/login","POST","Api\AuthController::login","backend/app/Controllers/Api/AuthController.php","AuthenticatedActorService;LocalAuthService;LocalTokenService;SupabaseAdminAuthService;SupabaseAuthService","account_lifecycle_events;audit_logs;local_auth_credentials;local_auth_sessions;password_reset_events;profiles","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/auth/logout","POST","Api\AuthController::logout","backend/app/Controllers/Api/AuthController.php","AuthenticatedActorService;LocalAuthService;LocalTokenService;SupabaseAdminAuthService;SupabaseAuthService","account_lifecycle_events;audit_logs;local_auth_credentials;local_auth_sessions;password_reset_events;profiles","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/auth/me","GET","Api\AuthController::me","backend/app/Controllers/Api/AuthController.php","AuthenticatedActorService;LocalAuthService;LocalTokenService;SupabaseAdminAuthService;SupabaseAuthService","account_lifecycle_events;audit_logs;local_auth_credentials;local_auth_sessions;password_reset_events;profiles","READ","Controller/filter enforced; inspect mapped action"
"/api/v1/auth/change-password","POST","Api\AuthController::changePassword","backend/app/Controllers/Api/AuthController.php","AuthenticatedActorService;LocalAuthService;LocalTokenService;SupabaseAdminAuthService;SupabaseAuthService","account_lifecycle_events;audit_logs;local_auth_credentials;local_auth_sessions;password_reset_events;profiles","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/student/profile","GET","Api\StudentProfileController::show","backend/app/Controllers/Api/StudentProfileController.php","AuthenticatedActorService","profiles","READ","Controller/filter enforced; inspect mapped action"
"/api/v1/password-reset-requests","POST","Api\PasswordResetRequestController::submit","backend/app/Controllers/Api/PasswordResetRequestController.php","AuthenticatedActorService;LocalAuthService;LocalTokenService;SupabaseAdminAuthService","account_lifecycle_events;audit_logs;local_auth_credentials;local_auth_sessions;password_reset_requests;profiles","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/password-reset-requests","GET","Api\PasswordResetRequestController::list","backend/app/Controllers/Api/PasswordResetRequestController.php","AuthenticatedActorService;LocalAuthService;LocalTokenService;SupabaseAdminAuthService","account_lifecycle_events;audit_logs;local_auth_credentials;local_auth_sessions;password_reset_requests;profiles","READ","Controller/filter enforced; inspect mapped action"
"/api/v1/password-reset-requests/(:segment)/reset","POST","Api\PasswordResetRequestController::reset/$1","backend/app/Controllers/Api/PasswordResetRequestController.php","AuthenticatedActorService;LocalAuthService;LocalTokenService;SupabaseAdminAuthService","account_lifecycle_events;audit_logs;local_auth_credentials;local_auth_sessions;password_reset_requests;profiles","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/password-reset-requests/(:segment)/reject","POST","Api\PasswordResetRequestController::reject/$1","backend/app/Controllers/Api/PasswordResetRequestController.php","AuthenticatedActorService;LocalAuthService;LocalTokenService;SupabaseAdminAuthService","account_lifecycle_events;audit_logs;local_auth_credentials;local_auth_sessions;password_reset_requests;profiles","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/personnel/roles","GET","Api\PersonnelRoleController::index","backend/app/Controllers/Api/PersonnelRoleController.php","AuthorizationService","dean_assignments;organization_moderator_assignments;organizations;program_coordinator_assignments","READ","Controller/filter enforced; inspect mapped action"
"/api/v1/personnel/(:segment)/roles","POST","Api\PersonnelRoleController::assign/$1","backend/app/Controllers/Api/PersonnelRoleController.php","AuthorizationService","dean_assignments;organization_moderator_assignments;organizations;program_coordinator_assignments","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/personnel/(:segment)/roles/(:segment)","DELETE","Api\PersonnelRoleController::revoke/$1/$2","backend/app/Controllers/Api/PersonnelRoleController.php","AuthorizationService","dean_assignments;organization_moderator_assignments;organizations;program_coordinator_assignments","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/osad/students","GET","Api\TargetProvisioningController::listStudents","backend/app/Controllers/Api/TargetProvisioningController.php","AuthenticatedActorService;FacultyStatusService;PersonnelClassificationService;SupabaseAdminAuthService","academic_programs;account_lifecycle_events;administrative_unit_id;administrative_units;audit_logs;college_id;colleges;current_rank_title;faculty_engagement;local_auth_credentials;organizational_side;personnel_administrative_unit_affiliations;personnel_college_affiliations;personnel_group;personnel_profiles;personnel_program_affiliations;position_title;profile_roles;profiles;qualification_summary;roles;student_profiles;student_program_enrollments","READ","Controller/filter enforced; inspect mapped action"
"/api/v1/osad/audit","GET","Api\TargetProvisioningController::audit","backend/app/Controllers/Api/TargetProvisioningController.php","AuthenticatedActorService;FacultyStatusService;PersonnelClassificationService;SupabaseAdminAuthService","academic_programs;account_lifecycle_events;administrative_unit_id;administrative_units;audit_logs;college_id;colleges;current_rank_title;faculty_engagement;local_auth_credentials;organizational_side;personnel_administrative_unit_affiliations;personnel_college_affiliations;personnel_group;personnel_profiles;personnel_program_affiliations;position_title;profile_roles;profiles;qualification_summary;roles;student_profiles;student_program_enrollments","READ","Controller/filter enforced; inspect mapped action"
"/api/v1/provisioning/manual-student","POST","Api\TargetProvisioningController::manualStudent","backend/app/Controllers/Api/TargetProvisioningController.php","AuthenticatedActorService;FacultyStatusService;PersonnelClassificationService;SupabaseAdminAuthService","academic_programs;account_lifecycle_events;administrative_unit_id;administrative_units;audit_logs;college_id;colleges;current_rank_title;faculty_engagement;local_auth_credentials;organizational_side;personnel_administrative_unit_affiliations;personnel_college_affiliations;personnel_group;personnel_profiles;personnel_program_affiliations;position_title;profile_roles;profiles;qualification_summary;roles;student_profiles;student_program_enrollments","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
