TermID,CurrentTerm,Context,CurrentPaths,CurrentRuntimeExposure,FinalizedPreferredTerm,Reason,CompatibilityRequirement,HistoricalRetentionRequirement,Phase14Action,Phase15Validation,EvidencePaths,Notes
"TERM-001","Department Secretary","Role / Governance","frontend/src/pages/personnel/department-secretary/, frontend/src/utils/roleContext.js, frontend/docs/","UI text, empty folder, fallback switch case","Dean (College scope) / Program Coordinator (Program scope)","Department Secretary role does not exist in finalized AchieveNest governance","Retain roleContext.js normalizeRoleContext('department_secretary') -> DEAN alias","Preserve historical mentions in historical audit/report documents","RETIRE-FOLDER","Verify empty folder retired and roleContext tests pass","frontend/src/utils/roleContext.js:76-81, frontend/src/pages/personnel/department-secretary/","Department Secretary role eliminated; academic governance resides with Deans and Program Coordinators"
"TERM-002","depsec","Route / URL Path","frontend/src/App.jsx:195","URL route redirect (/depsec)","Navigate to /personnel/dashboard","Transitional URL alias preventing broken bookmarks","Retain React Router redirect in App.jsx","None","KEEP","Route redirect smoke test","frontend/src/App.jsx:195, docs/audit/PHASE_2_FRONTEND_ROUTE_MAP.csv","Compatibility redirect route"
"TERM-003","submitToDepSec","Controller / Hook Method","frontend/src/controllers/PersonnelPortfolioController.js, frontend/src/hooks/usePersonnelPortfolio.js","Internal method invocation in portfolio editor","submitForVerification / submitToEndorsement","Submissions are routed to academic program coordinators and deans","Provide backward-compatible alias if required","None","RENAME-WITH-COMPATIBILITY","Vitest suite execution","frontend/src/controllers/PersonnelPortfolioController.js:237, frontend/src/hooks/usePersonnelPortfolio.js:62","Method name reflects endorsement pipeline"
"TERM-004","Department","Academic Hierarchy","frontend/src/services/authService.js, frontend/docs/","Session fallback field (department_id: null)","College (College-level unit) / Academic Program (Degree program)","No 'departments' table exists; system models College -> Academic Program hierarchy","Retain department_id null fallback in authService","Preserve historical migration and audit references","KEEP-COMPATIBILITY","authService unit tests","frontend/src/services/authService.js:156, frontend/src/models/__tests__/OSADAcademicHierarchy.test.js:22","Hierarchy is College -> Academic Program; no department table exists"
"TERM-005","Potential Awardees","Award Governance UI","Historical specs, ?tab=awardees query alias","URL query parameter alias","Potential Award Candidates / Award Candidates","The system automatically calculates 80% benchmark candidate eligibility; final awardee selection is an institutional OSAD decision","Retain ?tab=awardees as query alias for ?tab=candidate-review","Preserve historical report wording","KEEP-COMPATIBILITY","OSAD Award Candidate Review page smoke test","frontend/src/components/osad/PotentialAwardCandidatesPreview.jsx:52, frontend/src/pages/osad-admin/OSADAwardCandidateReviewPage.jsx","Active UI already uses 'Potential Award Candidates'; query alias preserved"
"TERM-006","Dean Nominations","Award Candidate Pathway","backend/app/Services/AwardEvaluationService.php, backend/app/Commands/VerifyPhase14Awards.php, migrations","Database table dean_student_nominations, backend evaluation engine, Spark commands","Dean Nominations","Authoritative backend mechanism enabling Deans to nominate exceptional students for award interview eligibility","Active database schema, controllers, and tests require exact term","Preserve in code and documentation","KEEP","VerifyPhase14Awards Spark command (46 assertions passing)","backend/app/Services/AwardEvaluationService.php:422, backend/database/mysql-defense/migrations/000006_award_scoring_and_eligibility.sql","Legitimate, authoritative dual-pathway feature in AchieveNest"
"TERM-007","NDMURatingPane","HR Studio Evaluation","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/rating/NDMURatingPane.jsx","Superseded React component","CriterionEvaluation (Modern Studio View)","Superseded by CriterionEvaluation.jsx in Evaluation Studio overhaul","None (0 callers)","None","REMOVE","Evaluation studio smoke test","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/rating/NDMURatingPane.jsx, docs/audit/PHASE_12_DEAD_CODE_CANDIDATES.csv","Dead code candidate scheduled for removal in Phase 14; do not rename"
"TERM-008","NDMU Institutional Branding","Institutional Identity","Campus backdrops, email validation (@ndmu.edu.ph), certificate templates, seals","Active branding, email validation regex, certificate issuance headers","Notre Dame of Marbel University / NDMU","Authoritative institutional identity of the university","Enforce @ndmu.edu.ph domain validation and official seal rendering","Preserve institutional identity across all active assets","KEEP","Auth validation test suite","frontend/src/services/authService.js:40, frontend/src/pages/student/StudentPortfolioPage.jsx:223","Legitimate institutional branding and domain verification"
"TERM-009","Domain Policies (5 Policy Classes)","Backend Security / Authorization","backend/app/Services/Policies/","5 policy classes (Award, Evidence, Governance, Personnel, StudentPortfolio) + AuthorizationService","5 Policy Classes + AuthorizationService","Precise architectural categorization: 5 policy classes coordinated by AuthorizationService","None","Preserve architecture definition","KEEP","PHPUnit authorization tests","backend/app/Services/Policies/, docs/audit/PHASE_6_BACKEND_RESPONSIBILITY_MAP.csv","Accurate technical descriptor: 5 policy classes + AuthorizationService"
"TERM-010","Supabase Stubs","Backend / Frontend Offline Fallbacks","backend/app/Services/SupabaseAuthService.php, frontend/src/config/supabase.js","Offline fallback stubs and zero-call test targets","SupabaseAuthService / SupabaseAdminAuthService / config/supabase.js","Accurately identifies legacy fallback stubs and test assertion fixtures","Retain stubs for zero-call assertion tests","Preserve historical migration records","KEEP-COMPATIBILITY","Local defense zero-call test suite","frontend/src/services/__tests__/supabaseZeroCallLocalDefense.test.js, docs/audit/PHASE_10_LEGACY_TECHNOLOGY_REGISTER.csv","Preserve name as test fixture stub"
