"MoveID","OriginalPath","DestinationPath","Classification","TrackingStatus","SHA256Checksum","ValidationCheck","CommitHash","Notes"
"MOV-001","AchieveNest_Phase_2_Pre_Execution_Migration_Code_Review.md","docs/history/AchieveNest_Phase_2_Pre_Execution_Migration_Code_Review.md","HISTORICAL_REVIEW","TRACKED","N/A (Markdown Git Move)","100% rename match","3f0e40f","Reorganized to docs/history/"
"MOV-002","AchieveNest_Phase_4_Fresh_Disposable_Database_Build_Report.md","docs/reports/AchieveNest_Phase_4_Fresh_Disposable_Database_Build_Report.md","HISTORICAL_REPORT","TRACKED","N/A (Markdown Git Move)","100% rename match","3f0e40f","Reorganized to docs/reports/"
"MOV-003","AchieveNest_Phase_5_Reset_and_Replay_Validation_Report.md","docs/reports/AchieveNest_Phase_5_Reset_and_Replay_Validation_Report.md","HISTORICAL_REPORT","TRACKED","N/A (Markdown Git Move)","100% rename match","3f0e40f","Reorganized to docs/reports/"
"MOV-004","AchieveNest_Phase_6_Fresh_Build_vs_Current_Test_Reconciliation_Report.md","docs/reports/AchieveNest_Phase_6_Fresh_Build_vs_Current_Test_Reconciliation_Report.md","HISTORICAL_REPORT","TRACKED","N/A (Markdown Git Move)","100% rename match","3f0e40f","Reorganized to docs/reports/"
"MOV-005","AchieveNest_Phase_7_Test_Reconciliation_Report.md","docs/reports/AchieveNest_Phase_7_Test_Reconciliation_Report.md","HISTORICAL_REPORT","TRACKED","N/A (Markdown Git Move)","100% rename match","3f0e40f","Reorganized to docs/reports/"
"MOV-006","AchieveNest_Phase_8_Application_Security_and_Role_Based_E2E_Validation_Report.md","docs/reports/AchieveNest_Phase_8_Application_Security_and_Role_Based_E2E_Validation_Report.md","HISTORICAL_REPORT","TRACKED","N/A (Markdown Git Move)","100% rename match","3f0e40f","Reorganized to docs/reports/"
"MOV-007","AchieveNest_Phase_8_E2E_Test_Matrix.md","docs/reports/AchieveNest_Phase_8_E2E_Test_Matrix.md","HISTORICAL_REPORT","TRACKED","N/A (Markdown Git Move)","100% rename match","3f0e40f","Reorganized to docs/reports/"
"MOV-008","USER_WORKFLOW_AND_IMPROVEMENTS.md","docs/architecture/USER_WORKFLOW_AND_IMPROVEMENTS.md","ARCHITECTURE_DOC","TRACKED","N/A (Markdown Git Move)","100% rename match","3f0e40f","Reorganized to docs/architecture/"
"MOV-009","STARTUP_COMMANDS.md","docs/runbooks/STARTUP_COMMANDS.md","OPERATIONS_RUNBOOK","TRACKED","N/A (Markdown Git Add)","Clean institutional commands","3f0e40f","Organized into docs/runbooks/ and tracked"
"MOV-010","AchieveNest-Test_Pre_Phase7_2026-08-28_0036.dump","archive/database/AchieveNest-Test_Pre_Phase7_2026-08-28_0036.dump","DATABASE_DUMP_ARCHIVE","UNTRACKED_LOCAL","7EBF9B8CA823C504AA5CED2293AF65970A14841DF9AC669984B9BB79375EA95A","SHA256 Match + .gitignore rule","910fecf","Archived locally in archive/database/ and untracked from Git"
