Table,CreatedByMigration,AlteredByMigrations,SeededBy,RuntimeReaders,RuntimeWriters,TestsFixtures,PrimaryKey,ForeignKeys,UniqueConstraints,Indexes,RuntimeStatus,FreshBuildRequired,Confidence,Notes
"academic_programs","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","DemoAcademicStructureSeeder; 000010_constraints_indexes_reference_seeds.sql","backend/app/Commands/VerifyDbConnection.php; backend/app/Commands/VerifyPhase11ReferenceData.php; backend/app/Commands/VerifyPhase18DisasterRecovery.php (+7 more)","None (Read-Only Reference Data)","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","8 columns indexed appropriately","ACTIVE-READ-ONLY","YES","HIGH","Refined runtime classification: 10 readers, 0 writers in app runtime code"
"account_lifecycle_events","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","Runtime Operations","backend/app/Controllers/Api/HRPersonnelController.php","backend/app/Controllers/Api/AccountLifecycleController.php; backend/app/Controllers/Api/TargetProvisioningController.php","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","9 columns indexed appropriately","ACTIVE-READ-WRITE","YES","HIGH","Refined runtime classification: 1 readers, 2 writers in app runtime code"
"administrative_units","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","Runtime Operations","backend/app/Commands/VerifyDbConnection.php; backend/app/Commands/VerifyPhase11ReferenceData.php; backend/app/Commands/VerifyPhase18DisasterRecovery.php (+3 more)","None (Read-Only Reference Data)","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","9 columns indexed appropriately","ACTIVE-READ-ONLY","YES","HIGH","Refined runtime classification: 6 readers, 0 writers in app runtime code"
"attendance_records","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","Runtime Operations","None (Seeded Reference / Audit)","None (Read-Only Reference Data)","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","6 columns indexed appropriately","REFERENCE-ONLY","YES","HIGH","Refined runtime classification: 0 readers, 0 writers in app runtime code"
"attendance_sessions","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","Runtime Operations","None (Seeded Reference / Audit)","None (Read-Only Reference Data)","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","9 columns indexed appropriately","REFERENCE-ONLY","YES","HIGH","Refined runtime classification: 0 readers, 0 writers in app runtime code"
"audit_logs","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","Runtime Operations","backend/app/Commands/VerifyPhase14Workflows.php","backend/app/Commands/VerifyPhase14Workflows.php; backend/app/Services/LocalAuthService.php","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","12 columns indexed appropriately","ACTIVE-READ-WRITE","YES","HIGH","Refined runtime classification: 1 readers, 2 writers in app runtime code"
"award_criteria","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","DemoAcademicStructureSeeder; 000010_constraints_indexes_reference_seeds.sql","None (Seeded Reference / Audit)","None (Read-Only Reference Data)","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","10 columns indexed appropriately","ACTIVE-READ-ONLY","YES","HIGH","Refined runtime classification: 0 readers, 0 writers in app runtime code"
"award_cycles","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","DemoAcademicStructureSeeder; 000010_constraints_indexes_reference_seeds.sql","backend/app/Commands/VerifyPhase12Demo.php; backend/app/Services/AwardEvaluationService.php","backend/app/Database/Seeds/DefenseDemoScenarioSeeder.php","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","13 columns indexed appropriately","ACTIVE-READ-WRITE","YES","HIGH","Refined runtime classification: 2 readers, 1 writers in app runtime code"
"award_definitions","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","DemoAcademicStructureSeeder; 000010_constraints_indexes_reference_seeds.sql","backend/app/Commands/VerifyDbConnection.php; backend/app/Commands/VerifyPhase11ReferenceData.php; backend/app/Commands/VerifyPhase14Awards.php (+5 more)","None (Read-Only Reference Data)","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","12 columns indexed appropriately","ACTIVE-READ-ONLY","YES","HIGH","Refined runtime classification: 8 readers, 0 writers in app runtime code"
"award_evaluation_summary_reports","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","DemoAcademicStructureSeeder; 000010_constraints_indexes_reference_seeds.sql","None (Seeded Reference / Audit)","None (Read-Only Reference Data)","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","9 columns indexed appropriately","REFERENCE-ONLY","YES","HIGH","Refined runtime classification: 0 readers, 0 writers in app runtime code"
"award_interview_eligibilities","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","DemoAcademicStructureSeeder; 000010_constraints_indexes_reference_seeds.sql","backend/app/Services/AwardEvaluationService.php","backend/app/Services/AwardEvaluationService.php","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","14 columns indexed appropriately","ACTIVE-READ-WRITE","YES","HIGH","Refined runtime classification: 1 readers, 1 writers in app runtime code"
"award_portfolio_mappings","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","DemoAcademicStructureSeeder; 000010_constraints_indexes_reference_seeds.sql","None (Seeded Reference / Audit)","None (Read-Only Reference Data)","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","7 columns indexed appropriately","REFERENCE-ONLY","YES","HIGH","Refined runtime classification: 0 readers, 0 writers in app runtime code"
