RouteID,RouteType,URLPath,QueryKey,AliasKey,ParentRoute,EntrySource,NavigationSource,AuthorizedRoles,GuardCondition,RenderedPage,RenderedComponent,LazyImport,RedirectTarget,ReachableFromNavigation,ReachableByDeepLink,HiddenButSupported,CompatibilityStatus,TestCoverage,EvidencePaths,InitialReachabilityStatus,Confidence,Notes
"ROUTE-PUB-001","PATH_ROUTE","/","","","","frontend/src/App.jsx:136","Brand Logo / Direct Root URL","PUBLIC","None (Public Entry)","LoginPage.jsx","LoginPage","NO","","YES","YES","NO","CURRENT","frontend/src/tests/liveE2EIntegration.test.js","frontend/src/App.jsx:136,frontend/src/pages/common/LoginPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","Root application landing and authentication portal entry"
"ROUTE-PUB-002","PATH_ROUTE","/login","","","","frontend/src/App.jsx:137","Auth Guard Unauthorized Redirect / Direct Link","PUBLIC","None (Public Entry)","LoginPage.jsx","LoginPage","NO","","NO","YES","NO","CURRENT","frontend/src/tests/liveE2EIntegration.test.js","frontend/src/App.jsx:137,frontend/src/pages/common/LoginPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","Explicit login route for unauthenticated sessions"
"ROUTE-PUB-003","PATH_ROUTE","/reset-password","","","","frontend/src/App.jsx:138","LoginPage Forgot Password Link","PUBLIC","None (Public Password Recovery Form)","ResetPasswordPage.jsx","ResetPasswordPage","YES","","NO","YES","NO","CURRENT","frontend/src/tests/authServicePasswordReset.test.js","frontend/src/App.jsx:138,frontend/src/pages/common/ResetPasswordPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","Self-service password reset submission page"
"ROUTE-PUB-004","PATH_ROUTE","/change-password","","","","frontend/src/App.jsx:139","LayoutShell Mandatory Auth Guard Intercept","AUTHENTICATED (All Roles)","must_change_password === true","ChangePasswordPage.jsx","ChangePasswordPage","YES","","NO","YES","YES","CURRENT","frontend/src/tests/liveE2EIntegration.test.js","frontend/src/App.jsx:139,frontend/src/pages/common/ChangePasswordPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","Enforced password update page for new accounts"
"ROUTE-PUB-005","PATH_ROUTE","/403","","","","frontend/src/App.jsx:140","RouteAccessController RBAC Rejection Redirect","PUBLIC","None (Error Terminal)","ForbiddenPage.jsx","ForbiddenPage","NO","","NO","YES","YES","CURRENT","frontend/src/tests/RouteAccessController.test.js","frontend/src/App.jsx:140,frontend/src/pages/common/ForbiddenPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","HTTP 403 Forbidden access denial page"
"ROUTE-PUB-006","PATH_ROUTE","/verify/certificate/:publicId","","","","frontend/src/App.jsx:141","Digital Certificate QR Code / Direct URL","PUBLIC","None (Public Validation Endpoint)","PublicCertificateVerificationPage.jsx","PublicCertificateVerificationPage","YES","","NO","YES","NO","CURRENT","frontend/src/tests/CertificateIssuance.test.js","frontend/src/App.jsx:141,frontend/src/pages/common/PublicCertificateVerificationPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","Public cryptographic certificate verification display"
"ROUTE-PUB-007","PATH_ROUTE","/scanner/:eventId","","","","frontend/src/App.jsx:192","Organization Moderator Event Scanner Link","personnel, organization_moderator","Authenticated Event Attendance Scanner","OfficerScannerPage.jsx","OfficerScannerPage","YES","","NO","YES","YES","CURRENT","frontend/src/pages/personnel/organization-moderator/AttendanceScannerModal.jsx","frontend/src/App.jsx:192,frontend/src/pages/personnel/organization-moderator/OfficerScannerPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","Real-time event barcode/QR scanner workspace for officers"
"ROUTE-STU-001","PATH_ROUTE","/student/dashboard","","","","frontend/src/App.jsx:156","Student Sidebar: Dashboard (id: student-dashboard)","student","LayoutShell allowedAccountTypes=[student] requiredRoles=[student]","StudentDashboardPage.jsx","StudentDashboardPage","YES","","YES","YES","NO","CURRENT","frontend/src/tests/liveE2EIntegration.test.js","frontend/src/App.jsx:156,frontend/src/pages/student/StudentDashboardPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","Student overview dashboard with summary stats, leaderboard, and recent activity"
"ROUTE-STU-002","PATH_ROUTE","/student/achievements","","","","frontend/src/App.jsx:157","Student Sidebar: Achievements (id: student-achievements)","student","LayoutShell allowedAccountTypes=[student] requiredRoles=[student]","StudentAchievementsPage.jsx","StudentAchievementsPage","YES","","YES","YES","NO","CURRENT","frontend/src/tests/liveE2EIntegration.test.js","frontend/src/App.jsx:157,frontend/src/pages/student/StudentAchievementsPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","Student achievement management, submission creation, and status tracking"
"ROUTE-STU-003","PATH_ROUTE","/student/portfolio","","","","frontend/src/App.jsx:158","Student Sidebar: Portfolio (id: student-portfolio)","student","LayoutShell allowedAccountTypes=[student] requiredRoles=[student]","StudentPortfolioPage.jsx","StudentPortfolioPage","YES","","YES","YES","NO","CURRENT","frontend/src/tests/liveE2EIntegration.test.js","frontend/src/App.jsx:158,frontend/src/pages/student/StudentPortfolioPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","Official verified student accomplishments portfolio showcase"
